heuristic,network,ctg_id,trace,trace_probability,num_tasks_ctg,num_tasks_trace,ctg_overlapping_makespan,trace_ctg_makespan,trace_standalone_makespan,trace_gap,trace_ratio_standalone_over_ctg
HEFT,3node_hetero,0,Trace: 1-4-10-44-45,0.013112,64,9,4.8157,2.8119,2.8119,0.0,1.0
HEFT,3node_hetero,0,Trace: 1-4-10-44-46,0.045749,64,9,4.8157,2.9566,2.9566,0.0,1.0
HEFT,3node_hetero,0,Trace: 1-4-10-43-45,0.009373,64,9,4.8157,2.5979,2.5979,0.0,1.0
HEFT,3node_hetero,0,Trace: 1-4-10-43-46,0.032704,64,9,4.8157,2.7427,2.7427,0.0,1.0
HEFT,3node_hetero,0,Trace: 1-4-9-19,0.035144,64,8,4.8157,2.6206,2.6206,0.0,1.0
HEFT,3node_hetero,0,Trace: 1-4-9-20,0.039701,64,8,4.8157,2.364,2.364,0.0,1.0
HEFT,3node_hetero,0,Trace: 1-3-15-31,0.06306,64,14,4.8157,5.1378,4.3841,0.7537,0.8533
HEFT,3node_hetero,0,Trace: 1-3-15-32,0.00513,64,14,4.8157,5.1378,4.5864,0.5514,0.8927
HEFT,3node_hetero,0,Trace: 1-3-16-34,0.029087,64,14,4.8157,5.4883,4.4514,1.0369,0.8111
HEFT,3node_hetero,0,Trace: 1-3-16-33,0.062074,64,14,4.8157,5.4883,4.3364,1.1519,0.7901
HEFT,3node_hetero,0,Trace: 2-12-29-27-56,0.038411,64,19,4.8157,4.7802,4.3043,0.4759,0.9004
HEFT,3node_hetero,0,Trace: 2-12-29-27-55,0.028515,64,19,4.8157,4.7802,4.6546,0.1256,0.9737
HEFT,3node_hetero,0,Trace: 2-12-29-28-57,0.111051,64,19,4.8157,4.7802,4.7107,0.0694,0.9855
HEFT,3node_hetero,0,Trace: 2-12-29-28-58,0.013941,64,19,4.8157,4.7802,4.712,0.0682,0.9857
HEFT,3node_hetero,0,Trace: 2-12-30-27-56,0.009464,64,19,4.8157,4.9326,4.8157,0.1168,0.9763
HEFT,3node_hetero,0,Trace: 2-12-30-27-55,0.007026,64,19,4.8157,4.9326,4.829,0.1036,0.979
HEFT,3node_hetero,0,Trace: 2-12-30-28-57,0.027363,64,19,4.8157,4.9326,4.8157,0.1168,0.9763
HEFT,3node_hetero,0,Trace: 2-12-30-28-58,0.003435,64,19,4.8157,4.9326,4.8157,0.1168,0.9763
HEFT,3node_hetero,0,Trace: 2-11-24-49-29-27-56,0.012999,64,15,4.8157,3.9839,3.8996,0.0843,0.9788
HEFT,3node_hetero,0,Trace: 2-11-24-49-29-27-55,0.00965,64,15,4.8157,3.9393,4.1062,-0.1669,1.0424
HEFT,3node_hetero,0,Trace: 2-11-24-49-29-28-57,0.037583,64,15,4.8157,3.9303,4.1062,-0.1759,1.0448
HEFT,3node_hetero,0,Trace: 2-11-24-49-29-28-58,0.004718,64,15,4.8157,3.5407,4.1175,-0.5767,1.1629
HEFT,3node_hetero,0,Trace: 2-11-24-49-30-27-56,0.003203,64,15,4.8157,4.0872,3.6874,0.3998,0.9022
HEFT,3node_hetero,0,Trace: 2-11-24-49-30-27-55,0.002378,64,15,4.8157,3.9393,3.6874,0.2519,0.936
HEFT,3node_hetero,0,Trace: 2-11-24-49-30-28-57,0.00926,64,15,4.8157,3.9303,3.6874,0.2429,0.9382
HEFT,3node_hetero,0,Trace: 2-11-24-49-30-28-58,0.001162,64,15,4.8157,3.6874,3.6874,0.0,1.0
HEFT,3node_hetero,0,Trace: 2-11-24-50-29-27-56,0.009824,64,15,4.8157,3.9839,3.8446,0.1393,0.965
HEFT,3node_hetero,0,Trace: 2-11-24-50-29-27-55,0.007293,64,15,4.8157,3.9393,3.8446,0.0947,0.976
HEFT,3node_hetero,0,Trace: 2-11-24-50-29-28-57,0.028403,64,15,4.8157,3.9303,3.8446,0.0857,0.9782
HEFT,3node_hetero,0,Trace: 2-11-24-50-29-28-58,0.003565,64,15,4.8157,3.5407,4.1175,-0.5767,1.1629
HEFT,3node_hetero,0,Trace: 2-11-24-50-30-27-56,0.002421,64,15,4.8157,4.0872,3.6539,0.4333,0.894
HEFT,3node_hetero,0,Trace: 2-11-24-50-30-27-55,0.001797,64,15,4.8157,3.9393,3.6539,0.2854,0.9276
HEFT,3node_hetero,0,Trace: 2-11-24-50-30-28-57,0.006998,64,15,4.8157,3.9303,3.6539,0.2764,0.9297
HEFT,3node_hetero,0,Trace: 2-11-24-50-30-28-58,0.000879,64,15,4.8157,3.6539,3.6539,0.0,1.0
HEFT,3node_hetero,0,Trace: 2-11-23-29-27-56,0.045528,64,16,4.8157,4.4337,4.1068,0.3269,0.9263
HEFT,3node_hetero,0,Trace: 2-11-23-29-27-55,0.033799,64,16,4.8157,4.6908,4.1914,0.4994,0.8935
HEFT,3node_hetero,0,Trace: 2-11-23-29-28-57,0.131627,64,16,4.8157,4.9842,4.0121,0.972,0.805
HEFT,3node_hetero,0,Trace: 2-11-23-29-28-58,0.016524,64,16,4.8157,4.4337,4.2615,0.1722,0.9612
HEFT,3node_hetero,0,Trace: 2-11-23-30-27-56,0.011218,64,16,4.8157,4.586,4.1914,0.3947,0.9139
HEFT,3node_hetero,0,Trace: 2-11-23-30-27-55,0.008328,64,16,4.8157,4.6908,4.1914,0.4994,0.8935
HEFT,3node_hetero,0,Trace: 2-11-23-30-28-57,0.032433,64,16,4.8157,4.9842,4.2615,0.7226,0.855
HEFT,3node_hetero,0,Trace: 2-11-23-30-28-58,0.004071,64,16,4.8157,4.586,4.2615,0.3245,0.9292
