heuristic,network,ctg_id,branch,branch_path_probability,num_tasks_ctg,num_tasks_branch,ctg_overlapping_makespan,branch_ctg_makespan,branch_standalone_makespan,branch_gap,branch_ratio_standalone_over_ctg
HEFT,3node_hetero,0,Path: 4,0.80525,8,7,2.1199,2.1041,2.1041,0.0,1.0
HEFT,3node_hetero,0,Path: 3,0.19475,8,7,2.1199,2.1199,1.9949,0.125,0.941
HEFT,3node_hetero,1,Path: 2,0.287499,8,5,2.4752,2.4752,2.4167,0.0585,0.9764
HEFT,3node_hetero,1,Path: 1-4,0.349383,8,4,2.4752,1.6179,1.6179,0.0,1.0
HEFT,3node_hetero,1,Path: 1-3,0.363117,8,4,2.4752,1.6122,1.6122,0.0,1.0
CPOP,3node_hetero,0,Path: 4,0.80525,8,7,2.3842,2.3842,2.3842,0.0,1.0
CPOP,3node_hetero,0,Path: 3,0.19475,8,7,2.3842,1.9949,1.9949,0.0,1.0
CPOP,3node_hetero,1,Path: 2,0.287499,8,5,2.4752,2.4752,2.4167,0.0585,0.9764
CPOP,3node_hetero,1,Path: 1-4,0.349383,8,4,2.4752,1.6179,1.6179,0.0,1.0
CPOP,3node_hetero,1,Path: 1-3,0.363117,8,4,2.4752,1.6122,1.6122,0.0,1.0
