heuristic,network,ctg_id,branch,branch_path_probability,num_tasks_ctg,num_tasks_branch,ctg_overlapping_makespan,branch_ctg_makespan,branch_standalone_makespan,branch_gap,branch_ratio_standalone_over_ctg
HEFT,3node_hetero,0,Path: 3,0.19475,8,7,2.4703,2.4703,2.4703,0.0,1.0
HEFT,3node_hetero,0,Path: 4,0.80525,8,7,2.4703,2.4703,2.3656,0.1048,0.9576
HEFT,3node_hetero,1,Path: 1-3,0.363117,8,4,1.4141,0.7049,0.7049,0.0,1.0
HEFT,3node_hetero,1,Path: 1-4,0.349383,8,4,1.4141,1.1156,1.1156,0.0,1.0
HEFT,3node_hetero,1,Path: 2,0.287499,8,5,1.4141,1.4141,1.4141,0.0,1.0
CPOP,3node_hetero,0,Path: 3,0.19475,8,7,2.1193,2.1193,2.1193,0.0,1.0
CPOP,3node_hetero,0,Path: 4,0.80525,8,7,2.1193,2.1193,2.1193,0.0,1.0
CPOP,3node_hetero,1,Path: 1-3,0.363117,8,4,1.9652,1.549,0.7049,0.8441,0.4551
CPOP,3node_hetero,1,Path: 1-4,0.349383,8,4,1.9652,1.8927,1.1156,0.7771,0.5894
CPOP,3node_hetero,1,Path: 2,0.287499,8,5,1.9652,1.9652,1.9652,0.0,1.0
