heuristic,network,ctg_id,trace,trace_probability,num_tasks_ctg,num_tasks_trace,ctg_overlapping_makespan,trace_ctg_makespan,trace_standalone_makespan,trace_gap,trace_ratio_standalone_over_ctg
HEFT,3node_hetero,0,Trace: 6-30-21-20,0.061941,32,22,4.586,5.5431,3.9976,1.5455,0.7212
HEFT,3node_hetero,0,Trace: 6-30-21-19,0.035277,32,22,4.586,5.5431,4.0548,1.4883,0.7315
HEFT,3node_hetero,0,Trace: 6-30-22-20,0.038159,32,22,4.586,5.3537,4.4118,0.942,0.8241
HEFT,3node_hetero,0,Trace: 6-30-22-19,0.021733,32,22,4.586,5.3537,4.2715,1.0823,0.7978
HEFT,3node_hetero,0,Trace: 6-29-21-20,0.19282,32,22,4.586,5.5431,4.3027,1.2404,0.7762
HEFT,3node_hetero,0,Trace: 6-29-21-19,0.109816,32,22,4.586,5.5431,4.2187,1.3244,0.7611
HEFT,3node_hetero,0,Trace: 6-29-22-20,0.118789,32,22,4.586,5.3537,4.5139,0.8399,0.8431
HEFT,3node_hetero,0,Trace: 6-29-22-19,0.067653,32,22,4.586,5.3537,4.3574,0.9963,0.8139
HEFT,3node_hetero,0,Trace: 5-26-21-20,0.07,32,22,4.586,5.4471,3.9122,1.5349,0.7182
HEFT,3node_hetero,0,Trace: 5-26-21-19,0.039867,32,22,4.586,5.4471,3.5825,1.8646,0.6577
HEFT,3node_hetero,0,Trace: 5-26-22-20,0.043124,32,22,4.586,5.2577,3.971,1.2867,0.7553
HEFT,3node_hetero,0,Trace: 5-26-22-19,0.02456,32,22,4.586,5.2577,3.9771,1.2807,0.7564
HEFT,3node_hetero,0,Trace: 5-25-21-20,0.069491,32,22,4.586,5.4471,3.7315,1.7155,0.6851
HEFT,3node_hetero,0,Trace: 5-25-21-19,0.039577,32,22,4.586,5.4471,3.7607,1.6864,0.6904
HEFT,3node_hetero,0,Trace: 5-25-22-20,0.042811,32,22,4.586,5.2577,3.9425,1.3152,0.7499
HEFT,3node_hetero,0,Trace: 5-25-22-19,0.024382,32,22,4.586,5.2577,3.7462,1.5115,0.7125
