heuristic,network,ctg_id,trace,trace_probability,num_tasks_ctg,num_tasks_trace,ctg_overlapping_makespan,trace_ctg_makespan,trace_standalone_makespan,trace_gap,trace_ratio_standalone_over_ctg
CPOP,2node_homo,3,Trace: 4-5-12-19-21,0.003654,32,13,6.0969,5.6786,5.3346,0.344,0.9394
CPOP,2node_homo,3,Trace: 4-5-12-20-22,0.001503,32,13,6.0969,5.3346,5.3346,0.0,1.0
CPOP,2node_homo,3,Trace: 4-5-12-20-21,0.003175,32,13,6.0969,5.6786,5.3346,0.344,0.9394
CPOP,2node_homo,4,Trace: 1-3,0.060442,8,4,1.8546,1.4447,1.4447,0.0,1.0
CPOP,2node_homo,4,Trace: 1-4,0.08171,8,4,1.8546,1.8546,1.8546,0.0,1.0
CPOP,2node_homo,4,Trace: 2-6,0.554071,8,4,1.8546,1.5283,1.5283,0.0,1.0
CPOP,2node_homo,4,Trace: 2-5,0.303777,8,4,1.8546,1.3674,1.3674,0.0,1.0
CPOP,2node_homo,5,Trace: 3,0.61316,8,7,4.1061,4.0249,4.0249,0.0,1.0
CPOP,2node_homo,5,Trace: 4,0.38684,8,7,4.1061,4.1061,3.8674,0.2387,0.9419
CPOP,2node_homo,6,Trace: 3-17-15-13-24,0.028,32,19,7.1128,7.633,7.0084,0.6247,0.9182
CPOP,2node_homo,6,Trace: 3-17-15-13-23,0.056689,32,19,7.1128,7.0741,6.844,0.2301,0.9675
CPOP,2node_homo,6,Trace: 3-17-15-14-30-24,0.001822,32,18,7.1128,6.5863,6.0827,0.5037,0.9235
CPOP,2node_homo,6,Trace: 3-17-15-14-30-23,0.00369,32,18,7.1128,6.3616,6.0319,0.3297,0.9482
CPOP,2node_homo,6,Trace: 3-17-15-14-29-24,0.012859,32,18,7.1128,6.5157,6.0827,0.433,0.9335
CPOP,2node_homo,6,Trace: 3-17-15-14-29-23,0.026035,32,18,7.1128,6.3616,6.2255,0.1362,0.9786
