experiment_num,scheduler_name,mode,n,duplicated_tasks,makespan
21,cpop,top-n,4,"0,5,3,6",5.366389974351881
21,cpop,top-n,5,"0,5,3,6,1",5.335866728314706
21,cpop,bottom-n,0,,5.366389974351881
21,cpop,bottom-n,1,7,8.673444507094402
21,cpop,bottom-n,2,"7,4",5.8673545855344535
21,cpop,bottom-n,3,"7,4,2",5.8673545855344535
21,cpop,bottom-n,4,"7,4,2,1",5.366389974351881
21,cpop,bottom-n,5,"7,4,2,1,6",5.366389974351881
22,heft,top-n,0,,7.593881396275625
22,heft,top-n,1,0,6.117670851591681
22,heft,top-n,2,"0,6",6.117670851591681
22,heft,top-n,3,"0,6,3",7.132300853722677
22,heft,top-n,4,"0,6,3,1",6.535803075994249
22,heft,top-n,5,"0,6,3,1,4",8.076160992377359
22,heft,bottom-n,0,,7.593881396275625
22,heft,bottom-n,1,7,8.053048940517312
22,heft,bottom-n,2,"7,5",8.053048940517312
22,heft,bottom-n,3,"7,5,2",8.053048940517312
22,heft,bottom-n,4,"7,5,2,4",8.076160992377359
22,heft,bottom-n,5,"7,5,2,4,1",8.497165975214852
22,cpop,top-n,0,,8.348595089455872
22,cpop,top-n,1,0,8.348595089455872
22,cpop,top-n,2,"0,6",7.254710748893302
22,cpop,top-n,3,"0,6,3",8.064224321493677
22,cpop,top-n,4,"0,6,3,1",7.537016906699826
22,cpop,top-n,5,"0,6,3,1,4",9.180682582828988
22,cpop,bottom-n,0,,8.348595089455872
22,cpop,bottom-n,1,7,8.807762633697559
22,cpop,bottom-n,2,"7,5",8.807762633697559
22,cpop,bottom-n,3,"7,5,2",7.978683025936705
22,cpop,bottom-n,4,"7,5,2,4",8.807762633697559
22,cpop,bottom-n,5,"7,5,2,4,1",8.807762633697559
23,heft,top-n,0,,5.388136320537106
23,heft,top-n,1,0,6.341027736901557
23,heft,top-n,2,"0,3",6.409306764818123
23,heft,top-n,3,"0,3,1",5.388136320537106
23,heft,top-n,4,"0,3,1,5",5.342377787192152
23,heft,top-n,5,"0,3,1,5,4",5.342377787192152
23,heft,bottom-n,0,,5.388136320537106
23,heft,bottom-n,1,7,7.4953173018777886
23,heft,bottom-n,2,"7,6",7.69357992790723
23,heft,bottom-n,3,"7,6,2",7.69357992790723
23,heft,bottom-n,4,"7,6,2,4",7.269059944880187
23,heft,bottom-n,5,"7,6,2,4,5",7.269059944880187
23,cpop,top-n,0,,5.64764812064937
23,cpop,top-n,1,0,5.64764812064937
23,cpop,top-n,2,"0,3",5.64764812064937
23,cpop,top-n,3,"0,3,1",8.063947326426405
23,cpop,top-n,4,"0,3,1,5",6.377580101352631
23,cpop,top-n,5,"0,3,1,5,4",6.4254884952971505
23,cpop,bottom-n,0,,5.64764812064937
23,cpop,bottom-n,1,7,7.788974374713863
23,cpop,bottom-n,2,"7,6",8.050102536006206
23,cpop,bottom-n,3,"7,6,2",7.391219092546239
23,cpop,bottom-n,4,"7,6,2,4",8.136511917298192
23,cpop,bottom-n,5,"7,6,2,4,5",7.776210705382993
24,heft,top-n,0,,4.915451701900909
24,heft,top-n,1,0,4.309489814686988
24,heft,top-n,2,"0,2",4.345301091216721
24,heft,top-n,3,"0,2,6",4.9322585310383245
24,heft,top-n,4,"0,2,6,4",5.145111506355748
24,heft,top-n,5,"0,2,6,4,1",4.928332249907185
24,heft,bottom-n,0,,4.915451701900909
24,heft,bottom-n,1,7,5.832577279079711
24,heft,bottom-n,2,"7,5",5.832577279079711
24,heft,bottom-n,3,"7,5,3",5.832577279079711
24,heft,bottom-n,4,"7,5,3,1",7.87952549559847
24,heft,bottom-n,5,"7,5,3,1,4",5.648616100471015
24,cpop,top-n,0,,4.6979733973598785
24,cpop,top-n,1,0,4.6979733973598785
24,cpop,top-n,2,"0,2",5.4618318853166
24,cpop,top-n,3,"0,2,6",5.775598593764573
24,cpop,top-n,4,"0,2,6,4",6.726241296875709
24,cpop,top-n,5,"0,2,6,4,1",5.775598593764573
24,cpop,bottom-n,0,,4.6979733973598785
24,cpop,bottom-n,1,7,7.87952549559847
24,cpop,bottom-n,2,"7,5",7.87952549559847
24,cpop,bottom-n,3,"7,5,3",7.87952549559847
24,cpop,bottom-n,4,"7,5,3,1",6.003905108549074
24,cpop,bottom-n,5,"7,5,3,1,4",5.458632768135418
25,heft,top-n,0,,5.513751136669933
25,heft,top-n,1,0,5.457483503184361
25,heft,top-n,2,"0,6",4.6663174133893115
25,heft,top-n,3,"0,6,5",4.761629218461494
25,heft,top-n,4,"0,6,5,1",4.796306490566653
25,heft,top-n,5,"0,6,5,1,2",4.953364196589824
25,heft,bottom-n,0,,5.513751136669933
25,heft,bottom-n,1,7,5.847390363781186
25,heft,bottom-n,2,"7,4",5.913772520751748
25,heft,bottom-n,3,"7,4,3",5.913772520751748
25,heft,bottom-n,4,"7,4,3,2",5.913772520751748
25,heft,bottom-n,5,"7,4,3,2,1",5.910822544720401
25,cpop,top-n,0,,5.433453954481031
25,cpop,top-n,1,0,5.433453954481031
25,cpop,top-n,2,"0,6",5.433453954481031
25,cpop,top-n,3,"0,6,5",5.973668556366086
25,cpop,top-n,4,"0,6,5,1",5.240480944215648
25,cpop,top-n,5,"0,6,5,1,2",5.259469891438656
25,cpop,bottom-n,0,,5.433453954481031
25,cpop,bottom-n,1,7,5.674896461037318
25,cpop,bottom-n,2,"7,4",5.674896461037318
25,cpop,bottom-n,3,"7,4,3",5.674896461037318
25,cpop,bottom-n,4,"7,4,3,2",6.609710196086141
25,cpop,bottom-n,5,"7,4,3,2,1",5.770033850322635
26,heft,top-n,0,,6.880775891050984
26,heft,top-n,1,0,6.880775891050984
26,heft,top-n,2,"0,1",7.359706332381856
26,heft,top-n,3,"0,1,2",8.03468036250142
26,heft,top-n,4,"0,1,2,6",6.619455790418362
26,heft,top-n,5,"0,1,2,6,4",8.046913030041543
26,heft,bottom-n,0,,6.880775891050984
26,heft,bottom-n,1,7,8.32603288225321
26,heft,bottom-n,2,"7,5",8.32603288225321
26,heft,bottom-n,3,"7,5,3",8.582467965696885
26,heft,bottom-n,4,"7,5,3,4",8.705438359997897
26,heft,bottom-n,5,"7,5,3,4,6",9.190671614496582
26,cpop,top-n,0,,6.78487235902435
26,cpop,top-n,1,0,6.78487235902435
26,cpop,top-n,2,"0,1",7.192177109028394
26,cpop,top-n,3,"0,1,2",7.192177109028394
26,cpop,top-n,4,"0,1,2,6",7.18986352358179
26,cpop,top-n,5,"0,1,2,6,4",7.406213073383391
26,cpop,bottom-n,0,,6.78487235902435
26,cpop,bottom-n,1,7,9.160798041756095
26,cpop,bottom-n,2,"7,5",8.362178099354963
26,cpop,bottom-n,3,"7,5,3",8.521388834962242
26,cpop,bottom-n,4,"7,5,3,4",8.582467967259209
26,cpop,bottom-n,5,"7,5,3,4,6",9.3861911817416
27,heft,top-n,0,,3.7932988980258324
27,heft,top-n,1,0,3.3373098754535095
27,heft,top-n,2,"0,2",3.5422369356755317
27,heft,top-n,3,"0,2,3",3.5755555745128893
27,heft,top-n,4,"0,2,3,6",3.5755555745128893
27,heft,top-n,5,"0,2,3,6,1",4.573479878605686
27,heft,bottom-n,0,,3.7932988980258324
27,heft,bottom-n,1,7,3.9975411764016715
27,heft,bottom-n,2,"7,5",3.9975411764016715
27,heft,bottom-n,3,"7,5,4",3.9975411764016715
27,heft,bottom-n,4,"7,5,4,1",4.698003510257143
27,heft,bottom-n,5,"7,5,4,1,6",4.195915704444013
27,cpop,top-n,0,,3.7932988980258324
27,cpop,top-n,1,0,3.7932988980258324
27,cpop,top-n,2,"0,2",3.7932988980258324
27,cpop,top-n,3,"0,2,3",3.7932988980258324
27,cpop,top-n,4,"0,2,3,6",3.7932988980258324
27,cpop,top-n,5,"0,2,3,6,1",4.288121363592711
27,cpop,bottom-n,0,,3.7932988980258324
27,cpop,bottom-n,1,7,3.9975411764016715
27,cpop,bottom-n,2,"7,5",3.9975411764016715
27,cpop,bottom-n,3,"7,5,4",3.9975411764016715
27,cpop,bottom-n,4,"7,5,4,1",4.698003510257143
27,cpop,bottom-n,5,"7,5,4,1,6",4.195915704444013
28,heft,top-n,0,,5.000155019391958
28,heft,top-n,1,0,4.370604924410176
28,heft,top-n,2,"0,6",4.370604924410176
28,heft,top-n,3,"0,6,4",4.375571733680533
28,heft,top-n,4,"0,6,4,1",4.6054459334834705
28,heft,top-n,5,"0,6,4,1,3",4.6054459334834705
28,heft,bottom-n,0,,5.000155019391958
28,heft,bottom-n,1,7,5.376253440409634
28,heft,bottom-n,2,"7,5",5.311778813207072
28,heft,bottom-n,3,"7,5,2",5.311778813207072
28,heft,bottom-n,4,"7,5,2,3",5.311778813207072
28,heft,bottom-n,5,"7,5,2,3,1",5.673061441350752
28,cpop,top-n,0,,5.000155019391958
28,cpop,top-n,1,0,5.000155019391958
28,cpop,top-n,2,"0,6",5.000155019391958
28,cpop,top-n,3,"0,6,4",5.302813308866359
28,cpop,top-n,4,"0,6,4,1",5.386965529073276
28,cpop,top-n,5,"0,6,4,1,3",5.386965529073276
28,cpop,bottom-n,0,,5.000155019391958
28,cpop,bottom-n,1,7,5.376253440409634
28,cpop,bottom-n,2,"7,5",5.311778813207072
28,cpop,bottom-n,3,"7,5,2",5.311778813207072
28,cpop,bottom-n,4,"7,5,2,3",5.311778813207072
28,cpop,bottom-n,5,"7,5,2,3,1",5.673061441350752
29,heft,top-n,0,,3.88718972019264
29,heft,top-n,1,0,3.523150331570819
29,heft,top-n,2,"0,6",3.427059224440258
29,heft,top-n,3,"0,6,4",3.2078422554349686
29,heft,top-n,4,"0,6,4,3",2.941687747286239
29,heft,top-n,5,"0,6,4,3,1",3.186493082702536
29,heft,bottom-n,0,,3.88718972019264
29,heft,bottom-n,1,7,4.586163870858477
29,heft,bottom-n,2,"7,5",4.586163870858477
29,heft,bottom-n,3,"7,5,2",4.167955781283791
29,heft,bottom-n,4,"7,5,2,1",4.167955781283791
29,heft,bottom-n,5,"7,5,2,1,3",4.167955781283791
29,cpop,top-n,0,,3.88718972019264
29,cpop,top-n,1,0,3.88718972019264
29,cpop,top-n,2,"0,6",3.160398257285662
29,cpop,top-n,3,"0,6,4",3.160398257285662
29,cpop,top-n,4,"0,6,4,3",3.186493082702536
29,cpop,top-n,5,"0,6,4,3,1",4.116057081030254
29,cpop,bottom-n,0,,3.88718972019264
29,cpop,bottom-n,1,7,4.586163870858477
29,cpop,bottom-n,2,"7,5",4.586163870858477
29,cpop,bottom-n,3,"7,5,2",4.167955781283791
29,cpop,bottom-n,4,"7,5,2,1",4.167955781283791
29,cpop,bottom-n,5,"7,5,2,1,3",4.167955781283791
30,heft,top-n,0,,7.252670410187718
30,heft,top-n,1,0,7.113878288645012
30,heft,top-n,2,"0,2",7.334970229315237
30,heft,top-n,3,"0,2,4",7.897551735674405
30,heft,top-n,4,"0,2,4,3",7.897551735674405
30,heft,top-n,5,"0,2,4,3,6",8.817360474818132
30,heft,bottom-n,0,,7.252670410187718
30,heft,bottom-n,1,7,9.269743565737233
30,heft,bottom-n,2,"7,5",9.269743565737233
30,heft,bottom-n,3,"7,5,1",9.269743565737233
30,heft,bottom-n,4,"7,5,1,6",9.79992987952698
30,heft,bottom-n,5,"7,5,1,6,3",9.79992987952698
30,cpop,top-n,0,,7.252670410187718
30,cpop,top-n,1,0,7.252670410187718
30,cpop,top-n,2,"0,2",7.334970229315237
30,cpop,top-n,3,"0,2,4",7.602026861703965
30,cpop,top-n,4,"0,2,4,3",7.602026861703965
30,cpop,top-n,5,"0,2,4,3,6",8.755128137049711
30,cpop,bottom-n,0,,7.252670410187718
30,cpop,bottom-n,1,7,9.269743565737233
30,cpop,bottom-n,2,"7,5",9.269743565737233
30,cpop,bottom-n,3,"7,5,1",9.269743565737233
30,cpop,bottom-n,4,"7,5,1,6",9.79992987952698
30,cpop,bottom-n,5,"7,5,1,6,3",9.79992987952698
31,heft,top-n,0,,2.954227693256954
31,heft,top-n,1,0,4.369600742868293
31,heft,top-n,2,"0,1",3.7968568155289386
31,heft,top-n,3,"0,1,6",3.7968568155289386
31,heft,top-n,4,"0,1,6,2",2.954227693256954
31,heft,top-n,5,"0,1,6,2,5",2.954227693256954
31,heft,bottom-n,0,,2.954227693256954
31,heft,bottom-n,1,7,4.010669851036341
31,heft,bottom-n,2,"7,4",4.175298029570479
31,heft,bottom-n,3,"7,4,3",4.175298029570479
31,heft,bottom-n,4,"7,4,3,5",4.175298029570479
31,heft,bottom-n,5,"7,4,3,5,2",4.547815075098226
31,cpop,top-n,0,,2.954227693256954
31,cpop,top-n,1,0,2.954227693256954
31,cpop,top-n,2,"0,1",2.954227693256954
31,cpop,top-n,3,"0,1,6",2.954227693256954
31,cpop,top-n,4,"0,1,6,2",3.4580418784089897
31,cpop,top-n,5,"0,1,6,2,5",3.4580418784089897
31,cpop,bottom-n,0,,2.954227693256954
31,cpop,bottom-n,1,7,4.010669851036341
31,cpop,bottom-n,2,"7,4",4.010669851036341
31,cpop,bottom-n,3,"7,4,3",4.010669851036341
31,cpop,bottom-n,4,"7,4,3,5",4.1752980283916425
31,cpop,bottom-n,5,"7,4,3,5,2",4.409980653901451
32,heft,top-n,0,,5.597135216943303
32,heft,top-n,1,0,4.7741044661210195
32,heft,top-n,2,"0,6",4.7741044661210195
32,heft,top-n,3,"0,6,4",4.770529159778307
32,heft,top-n,4,"0,6,4,3",4.111877337725001
32,heft,top-n,5,"0,6,4,3,2",4.496562447627106
32,heft,bottom-n,0,,5.597135216943303
32,heft,bottom-n,1,7,6.305091251451725
32,heft,bottom-n,2,"7,5",6.972260059024552
32,heft,bottom-n,3,"7,5,1",6.972260059024552
32,heft,bottom-n,4,"7,5,1,2",6.972260059024552
32,heft,bottom-n,5,"7,5,1,2,3",6.972260059024552
32,cpop,top-n,0,,5.597135216943303
32,cpop,top-n,1,0,5.597135216943303
32,cpop,top-n,2,"0,6",5.046388017835331
32,cpop,top-n,3,"0,6,4",5.046388017835331
32,cpop,top-n,4,"0,6,4,3",5.046388017835331
32,cpop,top-n,5,"0,6,4,3,2",5.12499386697144
32,cpop,bottom-n,0,,5.597135216943303
32,cpop,bottom-n,1,7,6.305091251451725
32,cpop,bottom-n,2,"7,5",6.972260059024552
32,cpop,bottom-n,3,"7,5,1",6.972260059024552
32,cpop,bottom-n,4,"7,5,1,2",6.972260059024552
32,cpop,bottom-n,5,"7,5,1,2,3",6.972260059024552
33,heft,top-n,0,,4.527771029265349
33,heft,top-n,1,0,4.378780547585907
33,heft,top-n,2,"0,1",4.868792402925051
33,heft,top-n,3,"0,1,3",5.056241613844355
33,heft,top-n,4,"0,1,3,2",5.999607543386627
33,heft,top-n,5,"0,1,3,2,6",5.1321679152776545
33,heft,bottom-n,0,,4.527771029265349
33,heft,bottom-n,1,7,5.173172024239087
33,heft,bottom-n,2,"7,4",5.8685210514939214
33,heft,bottom-n,3,"7,4,5",5.8685210514939214
33,heft,bottom-n,4,"7,4,5,6",5.8685210514939214
33,heft,bottom-n,5,"7,4,5,6,2",6.679008498806591
33,cpop,top-n,0,,4.527771029265349
33,cpop,top-n,1,0,4.527771029265349
33,cpop,top-n,2,"0,1",4.527771029265349
33,cpop,top-n,3,"0,1,3",4.592604735438828
33,cpop,top-n,4,"0,1,3,2",5.373393183444166
33,cpop,top-n,5,"0,1,3,2,6",5.411292519244768
33,cpop,bottom-n,0,,4.527771029265349
33,cpop,bottom-n,1,7,4.94315519240219
33,cpop,bottom-n,2,"7,4",5.705088078775452
33,cpop,bottom-n,3,"7,4,5",5.492586339022896
33,cpop,bottom-n,4,"7,4,5,6",7.225515785743092
33,cpop,bottom-n,5,"7,4,5,6,2",7.0169434480322135
34,heft,top-n,0,,4.9486119027620745
34,heft,top-n,1,0,4.539807412069967
34,heft,top-n,2,"0,2",4.72984160279376
34,heft,top-n,3,"0,2,6",5.064742869056202
34,heft,top-n,4,"0,2,6,1",5.68659398630091
34,heft,top-n,5,"0,2,6,1,4",5.300439427052894
34,heft,bottom-n,0,,4.9486119027620745
34,heft,bottom-n,1,7,5.064742869056202
34,heft,bottom-n,2,"7,5",5.064742869056202
34,heft,bottom-n,3,"7,5,3",5.064742869056202
34,heft,bottom-n,4,"7,5,3,4",5.485508686091627
34,heft,bottom-n,5,"7,5,3,4,1",5.08829185884626
34,cpop,top-n,0,,4.551395075516707
34,cpop,top-n,1,0,4.551395075516707
34,cpop,top-n,2,"0,2",4.648438067395199
34,cpop,top-n,3,"0,2,6",5.211577534576291
34,cpop,top-n,4,"0,2,6,1",5.5757586321488795
34,cpop,top-n,5,"0,2,6,1,4",5.211577534576291
34,cpop,bottom-n,0,,4.551395075516707
34,cpop,bottom-n,1,7,4.754247292405988
34,cpop,bottom-n,2,"7,5",4.754247292405988
34,cpop,bottom-n,3,"7,5,3",4.754247292405988
34,cpop,bottom-n,4,"7,5,3,4",5.08829185884626
34,cpop,bottom-n,5,"7,5,3,4,1",5.08829185884626
35,heft,top-n,0,,4.06570049431581
35,heft,top-n,1,0,4.06570049431581
35,heft,top-n,2,"0,5",4.200978961710201
35,heft,top-n,3,"0,5,1",4.735158599707292
35,heft,top-n,4,"0,5,1,2",4.385233243716074
35,heft,top-n,5,"0,5,1,2,3",4.859577069127852
35,heft,bottom-n,0,,4.06570049431581
35,heft,bottom-n,1,7,5.622315760458877
35,heft,bottom-n,2,"7,6",5.622315760458877
35,heft,bottom-n,3,"7,6,4",5.622315760458877
35,heft,bottom-n,4,"7,6,4,3",5.706156387030909
35,heft,bottom-n,5,"7,6,4,3,2",5.706156387030909
35,cpop,top-n,0,,4.175345241266652
35,cpop,top-n,1,0,4.175345241266652
35,cpop,top-n,2,"0,5",4.175345241266652
35,cpop,top-n,3,"0,5,1",4.4864329258425615
35,cpop,top-n,4,"0,5,1,2",4.623787055794172
35,cpop,top-n,5,"0,5,1,2,3",4.623787055794172
35,cpop,bottom-n,0,,4.175345241266652
35,cpop,bottom-n,1,7,5.893720493525352
35,cpop,bottom-n,2,"7,6",5.893720493525352
35,cpop,bottom-n,3,"7,6,4",5.892613924342985
35,cpop,bottom-n,4,"7,6,4,3",5.892613924342985
35,cpop,bottom-n,5,"7,6,4,3,2",6.061005933348421
36,heft,top-n,0,,7.449865525168923
36,heft,top-n,1,0,6.108310697823278
36,heft,top-n,2,"0,3",6.4840609632745005
36,heft,top-n,3,"0,3,2",6.499577786119091
36,heft,top-n,4,"0,3,2,1",7.3143503063854505
36,heft,top-n,5,"0,3,2,1,6",7.3143503063854505
36,heft,bottom-n,0,,7.449865525168923
36,heft,bottom-n,1,7,8.262485808358791
36,heft,bottom-n,2,"7,4",8.262485808358791
36,heft,bottom-n,3,"7,4,5",8.075115138146927
36,heft,bottom-n,4,"7,4,5,6",7.79749520489143
36,heft,bottom-n,5,"7,4,5,6,1",7.79749520489143
36,cpop,top-n,0,,7.280330980673169
36,cpop,top-n,1,0,7.280330980673169
36,cpop,top-n,2,"0,3",7.280330980673169
36,cpop,top-n,3,"0,3,2",7.724535760641734
36,cpop,top-n,4,"0,3,2,1",7.630438595423662
36,cpop,top-n,5,"0,3,2,1,6",7.630438595423662
36,cpop,bottom-n,0,,7.280330980673169
36,cpop,bottom-n,1,7,7.731285615491843
36,cpop,bottom-n,2,"7,4",7.731285615491843
36,cpop,bottom-n,3,"7,4,5",8.978599216893038
36,cpop,bottom-n,4,"7,4,5,6",8.978599216893038
36,cpop,bottom-n,5,"7,4,5,6,1",8.978599216893038
37,heft,top-n,0,,5.8039680762078145
37,heft,top-n,1,0,4.840160583443663
37,heft,top-n,2,"0,1",5.754825480401945
37,heft,top-n,3,"0,1,4",5.616308966458101
37,heft,top-n,4,"0,1,4,5",5.616308966458101
37,heft,top-n,5,"0,1,4,5,2",5.767889984576279
37,heft,bottom-n,0,,5.8039680762078145
37,heft,bottom-n,1,7,7.3178758845188
37,heft,bottom-n,2,"7,6",7.3178758845188
37,heft,bottom-n,3,"7,6,3",7.3178758845188
37,heft,bottom-n,4,"7,6,3,2",7.3178758845188
37,heft,bottom-n,5,"7,6,3,2,5",7.3178758845188
37,cpop,top-n,0,,6.234880565291903
37,cpop,top-n,1,0,6.234880565291903
37,cpop,top-n,2,"0,1",6.396879321096871
37,cpop,top-n,3,"0,1,4",6.934362603524029
37,cpop,top-n,4,"0,1,4,5",6.934362603524029
37,cpop,top-n,5,"0,1,4,5,2",5.975444894771077
37,cpop,bottom-n,0,,6.234880565291903
37,cpop,bottom-n,1,7,7.049501542800662
37,cpop,bottom-n,2,"7,6",9.198348969141197
37,cpop,bottom-n,3,"7,6,3",7.213142414476598
37,cpop,bottom-n,4,"7,6,3,2",9.198348969141197
37,cpop,bottom-n,5,"7,6,3,2,5",7.0155651997490125
38,heft,top-n,0,,3.787689235437809
38,heft,top-n,1,0,3.9194733116727605
38,heft,top-n,2,"0,5",3.4952448811128747
38,heft,top-n,3,"0,5,1",3.670681204022726
38,heft,top-n,4,"0,5,1,2",3.670681204022726
38,heft,top-n,5,"0,5,1,2,3",3.670681204022726
38,heft,bottom-n,0,,3.787689235437809
38,heft,bottom-n,1,7,4.782173544929298
38,heft,bottom-n,2,"7,4",5.2816350566202885
38,heft,bottom-n,3,"7,4,6",4.786190137776614
38,heft,bottom-n,4,"7,4,6,3",4.786190137776614
38,heft,bottom-n,5,"7,4,6,3,2",5.409301752216731
38,cpop,top-n,0,,3.4261384339320116
38,cpop,top-n,1,0,3.4261384339320116
38,cpop,top-n,2,"0,5",3.6557656296512926
38,cpop,top-n,3,"0,5,1",3.6557656296512926
38,cpop,top-n,4,"0,5,1,2",3.9560359561529475
38,cpop,top-n,5,"0,5,1,2,3",3.9560359561529475
38,cpop,bottom-n,0,,3.4261384339320116
38,cpop,bottom-n,1,7,4.610920599360909
38,cpop,bottom-n,2,"7,4",4.610920599360909
38,cpop,bottom-n,3,"7,4,6",4.860919299451718
38,cpop,bottom-n,4,"7,4,6,3",4.860919299451718
38,cpop,bottom-n,5,"7,4,6,3,2",5.56698980875051
39,heft,top-n,0,,4.848628899081232
39,heft,top-n,1,0,4.506548937356356
39,heft,top-n,2,"0,5",4.506548937356356
39,heft,top-n,3,"0,5,1",4.95726580111898
39,heft,top-n,4,"0,5,1,6",4.95726580111898
39,heft,top-n,5,"0,5,1,6,3",5.351973623223172
39,heft,bottom-n,0,,4.848628899081232
39,heft,bottom-n,1,7,5.015918117542765
39,heft,bottom-n,2,"7,4",5.146922234827471
39,heft,bottom-n,3,"7,4,2",5.352394362029575
39,heft,bottom-n,4,"7,4,2,3",5.62010795525682
39,heft,bottom-n,5,"7,4,2,3,6",5.469646411713626
39,cpop,top-n,0,,4.848628899081232
39,cpop,top-n,1,0,4.848628899081232
39,cpop,top-n,2,"0,5",4.339396001242879
39,cpop,top-n,3,"0,5,1",4.755241165795068
39,cpop,top-n,4,"0,5,1,6",4.755241165795068
39,cpop,top-n,5,"0,5,1,6,3",5.143029907842914
39,cpop,bottom-n,0,,4.848628899081232
39,cpop,bottom-n,1,7,5.015918117542765
39,cpop,bottom-n,2,"7,4",5.146922234827471
39,cpop,bottom-n,3,"7,4,2",5.146922234827471
39,cpop,bottom-n,4,"7,4,2,3",5.143029907842914
39,cpop,bottom-n,5,"7,4,2,3,6",5.143029907842914
40,heft,top-n,0,,3.0740144606213002
40,heft,top-n,1,0,2.3800783729735673
40,heft,top-n,2,"0,4",2.3800783729735673
40,heft,top-n,3,"0,4,1",3.0740144606213002
40,heft,top-n,4,"0,4,1,2",2.955976043423125
40,heft,top-n,5,"0,4,1,2,3",2.9229401931623715
40,heft,bottom-n,0,,3.0740144606213002
40,heft,bottom-n,1,7,3.3058550977909373
40,heft,bottom-n,2,"7,5",3.3058550977909373
40,heft,bottom-n,3,"7,5,6",3.3058550977909373
40,heft,bottom-n,4,"7,5,6,3",3.3058550977909373
40,heft,bottom-n,5,"7,5,6,3,2",3.3376074354766017
40,cpop,top-n,0,,3.0740144606213002
40,cpop,top-n,1,0,3.0740144606213002
40,cpop,top-n,2,"0,4",3.0740144606213002
40,cpop,top-n,3,"0,4,1",3.0740144606213002
40,cpop,top-n,4,"0,4,1,2",2.840257417342846
40,cpop,top-n,5,"0,4,1,2,3",2.840257417342846
40,cpop,bottom-n,0,,3.0740144606213002
40,cpop,bottom-n,1,7,3.3058550977909373
40,cpop,bottom-n,2,"7,5",3.3058550977909373
40,cpop,bottom-n,3,"7,5,6",3.3058550977909373
40,cpop,bottom-n,4,"7,5,6,3",3.3058550977909373
40,cpop,bottom-n,5,"7,5,6,3,2",3.3376074354766017
41,heft,top-n,0,,4.134551159257933
41,heft,top-n,1,0,4.372630191113118
41,heft,top-n,2,"0,3",4.408686524231405
41,heft,top-n,3,"0,3,2",3.9326787817400355
41,heft,top-n,4,"0,3,2,1",4.307216494579251
41,heft,top-n,5,"0,3,2,1,4",4.307216494579251
41,heft,bottom-n,0,,4.134551159257933
41,heft,bottom-n,1,7,4.945868907984001
41,heft,bottom-n,2,"7,5",6.2261009445159585
41,heft,bottom-n,3,"7,5,6",6.2261009445159585
41,heft,bottom-n,4,"7,5,6,4",6.2261009445159585
41,heft,bottom-n,5,"7,5,6,4,1",6.2261009445159585
41,cpop,top-n,0,,5.4146961136001135
41,cpop,top-n,1,0,5.4146961136001135
41,cpop,top-n,2,"0,3",4.134551160545427
41,cpop,top-n,3,"0,3,2",4.443130351723264
41,cpop,top-n,4,"0,3,2,1",4.99215442080212
41,cpop,top-n,5,"0,3,2,1,4",4.99215442080212
41,cpop,bottom-n,0,,5.4146961136001135
41,cpop,bottom-n,1,7,5.692053822094043
41,cpop,bottom-n,2,"7,5",5.692053822094043
41,cpop,bottom-n,3,"7,5,6",5.692053822094043
41,cpop,bottom-n,4,"7,5,6,4",5.692053822094043
41,cpop,bottom-n,5,"7,5,6,4,1",6.870733831200491
42,heft,top-n,0,,4.46989491884177
42,heft,top-n,1,0,4.134248724997781
42,heft,top-n,2,"0,2",4.46989491884177
42,heft,top-n,3,"0,2,4",4.46989491884177
42,heft,top-n,4,"0,2,4,1",4.615900025855135
42,heft,top-n,5,"0,2,4,1,3",4.615900025855135
42,heft,bottom-n,0,,4.46989491884177
42,heft,bottom-n,1,7,5.258401247934247
42,heft,bottom-n,2,"7,5",5.258401247934247
42,heft,bottom-n,3,"7,5,6",5.258401247934247
42,heft,bottom-n,4,"7,5,6,3",5.090677227368373
42,heft,bottom-n,5,"7,5,6,3,1",5.090677227368373
42,cpop,top-n,0,,3.9554806981338677
42,cpop,top-n,1,0,3.9554806981338677
42,cpop,top-n,2,"0,2",4.003482621814654
42,cpop,top-n,3,"0,2,4",4.6063597687795275
42,cpop,top-n,4,"0,2,4,1",4.6063597687795275
42,cpop,top-n,5,"0,2,4,1,3",4.626617106810723
42,cpop,bottom-n,0,,3.9554806981338677
42,cpop,bottom-n,1,7,4.256743862391709
42,cpop,bottom-n,2,"7,5",4.256743862391709
42,cpop,bottom-n,3,"7,5,6",4.599120585787654
42,cpop,bottom-n,4,"7,5,6,3",4.599120585787654
42,cpop,bottom-n,5,"7,5,6,3,1",5.193862913185051
43,heft,top-n,0,,4.734282663671102
43,heft,top-n,1,0,4.027879665934541
43,heft,top-n,2,"0,4",4.027879665934541
43,heft,top-n,3,"0,4,1",4.716054178046052
43,heft,top-n,4,"0,4,1,2",4.874835890995206
43,heft,top-n,5,"0,4,1,2,5",4.874835890995206
43,heft,bottom-n,0,,4.734282663671102
43,heft,bottom-n,1,7,5.11494739563594
43,heft,bottom-n,2,"7,6",5.413109864690605
43,heft,bottom-n,3,"7,6,3",6.053632827379804
43,heft,bottom-n,4,"7,6,3,5",5.715005742430251
43,heft,bottom-n,5,"7,6,3,5,2",5.269927100839676
43,cpop,top-n,0,,4.657624521712127
43,cpop,top-n,1,0,4.657624521712127
