heuristic,network,ctg_id,branch,branch_path_probability,num_tasks_ctg,num_tasks_branch,ctg_overlapping_makespan,branch_ctg_makespan,branch_standalone_makespan,branch_gap,branch_ratio_standalone_over_ctg
HEFT,3node_hetero,0,Path: 1-4-9-20,0.039701,64,8,4.1516,2.5706,2.5706,0.0,1.0
HEFT,3node_hetero,0,Path: 1-4-9-19,0.035144,64,8,4.1516,1.996,1.996,0.0,1.0
HEFT,3node_hetero,0,Path: 1-4-10-43-46,0.032704,64,9,4.1516,1.7031,1.7031,0.0,1.0
HEFT,3node_hetero,0,Path: 1-4-10-43-45,0.009373,64,9,4.1516,1.7372,1.7372,0.0,1.0
HEFT,3node_hetero,0,Path: 1-4-10-44-46,0.045749,64,9,4.1516,2.0106,2.0106,0.0,1.0
HEFT,3node_hetero,0,Path: 1-4-10-44-45,0.013112,64,9,4.1516,2.0447,2.0447,0.0,1.0
HEFT,3node_hetero,0,Path: 1-3-16-34,0.029087,64,14,4.1516,3.7122,3.1242,0.5881,0.8416
HEFT,3node_hetero,0,Path: 1-3-16-33,0.062074,64,14,4.1516,3.8433,3.1242,0.7192,0.8129
HEFT,3node_hetero,0,Path: 1-3-15-31,0.06306,64,14,4.1516,4.1663,3.1242,1.0422,0.7499
HEFT,3node_hetero,0,Path: 1-3-15-32,0.00513,64,14,4.1516,4.0195,3.1242,0.8953,0.7773
HEFT,3node_hetero,0,Path: 2-11-23-28-57-29,0.131627,64,16,4.1516,3.6435,3.3442,0.2993,0.9179
HEFT,3node_hetero,0,Path: 2-11-23-28-57-30,0.032433,64,16,4.1516,3.9218,3.7956,0.1262,0.9678
HEFT,3node_hetero,0,Path: 2-11-23-28-58-29,0.016524,64,16,4.1516,3.698,3.8596,-0.1616,1.0437
HEFT,3node_hetero,0,Path: 2-11-23-28-58-30,0.004071,64,16,4.1516,3.9226,3.296,0.6266,0.8403
HEFT,3node_hetero,0,Path: 2-11-23-27-56-29,0.045528,64,16,4.1516,4.0504,3.5587,0.4917,0.8786
HEFT,3node_hetero,0,Path: 2-11-23-27-56-30,0.011218,64,16,4.1516,4.2751,3.2809,0.9942,0.7674
HEFT,3node_hetero,0,Path: 2-11-23-27-55-29,0.033799,64,16,4.1516,3.6435,3.9451,-0.3016,1.0828
HEFT,3node_hetero,0,Path: 2-11-23-27-55-30,0.008328,64,16,4.1516,3.9218,3.2636,0.6582,0.8322
HEFT,3node_hetero,0,Path: 2-11-24-50-28-57-29,0.028403,64,15,4.1516,3.6435,3.5491,0.0944,0.9741
HEFT,3node_hetero,0,Path: 2-11-24-50-28-57-30,0.006998,64,15,4.1516,3.9218,3.4932,0.4286,0.8907
HEFT,3node_hetero,0,Path: 2-11-24-50-28-58-29,0.003565,64,15,4.1516,3.7618,3.0429,0.719,0.8089
HEFT,3node_hetero,0,Path: 2-11-24-50-28-58-30,0.000879,64,15,4.1516,3.9226,2.981,0.9416,0.76
HEFT,3node_hetero,0,Path: 2-11-24-50-27-56-29,0.009824,64,15,4.1516,4.0504,2.9693,1.0811,0.7331
HEFT,3node_hetero,0,Path: 2-11-24-50-27-56-30,0.002421,64,15,4.1516,4.2751,2.9693,1.3058,0.6946
HEFT,3node_hetero,0,Path: 2-11-24-50-27-55-29,0.007293,64,15,4.1516,3.6435,3.2598,0.3837,0.8947
HEFT,3node_hetero,0,Path: 2-11-24-50-27-55-30,0.001797,64,15,4.1516,3.9218,3.2598,0.662,0.8312
HEFT,3node_hetero,0,Path: 2-11-24-49-28-57-29,0.037583,64,15,4.1516,3.6435,3.5491,0.0944,0.9741
HEFT,3node_hetero,0,Path: 2-11-24-49-28-57-30,0.00926,64,15,4.1516,3.9218,3.3868,0.5349,0.8636
HEFT,3node_hetero,0,Path: 2-11-24-49-28-58-29,0.004718,64,15,4.1516,3.7618,3.3868,0.375,0.9003
HEFT,3node_hetero,0,Path: 2-11-24-49-28-58-30,0.001162,64,15,4.1516,3.9226,3.5615,0.3611,0.9079
HEFT,3node_hetero,0,Path: 2-11-24-49-27-56-29,0.012999,64,15,4.1516,4.0504,3.0951,0.9553,0.7641
HEFT,3node_hetero,0,Path: 2-11-24-49-27-56-30,0.003203,64,15,4.1516,4.2751,3.2432,1.0319,0.7586
HEFT,3node_hetero,0,Path: 2-11-24-49-27-55-29,0.00965,64,15,4.1516,3.6435,3.279,0.3645,0.9
HEFT,3node_hetero,0,Path: 2-11-24-49-27-55-30,0.002378,64,15,4.1516,3.9218,3.3868,0.5349,0.8636
HEFT,3node_hetero,0,Path: 2-12-28-57-29,0.111051,64,19,4.1516,4.0128,3.6561,0.3567,0.9111
HEFT,3node_hetero,0,Path: 2-12-28-57-30,0.027363,64,19,4.1516,4.0128,3.8961,0.1167,0.9709
HEFT,3node_hetero,0,Path: 2-12-28-58-29,0.013941,64,19,4.1516,4.0128,3.4922,0.5206,0.8703
HEFT,3node_hetero,0,Path: 2-12-28-58-30,0.003435,64,19,4.1516,4.0128,3.8692,0.1436,0.9642
HEFT,3node_hetero,0,Path: 2-12-27-56-29,0.038411,64,19,4.1516,4.0252,3.4922,0.533,0.8676
HEFT,3node_hetero,0,Path: 2-12-27-56-30,0.009464,64,19,4.1516,4.0742,3.7898,0.2844,0.9302
HEFT,3node_hetero,0,Path: 2-12-27-55-29,0.028515,64,19,4.1516,4.0128,3.6937,0.3191,0.9205
HEFT,3node_hetero,0,Path: 2-12-27-55-30,0.007026,64,19,4.1516,4.0128,3.7956,0.2172,0.9459
