heuristic,network,ctg_id,num_branches,mean_gap,median_gap,max_gap,mean_ratio,median_ratio
CPOP,2node_homo,0,2,0.0,0.0,0.0,1.0,1.0
CPOP,2node_homo,1,3,0.1626,0.1505,0.3373,0.9414333333333333,0.9453
CPOP,3node_hetero,0,2,0.0,0.0,0.0,1.0,1.0
CPOP,3node_hetero,1,3,0.25320000000000004,0.2864,0.4732,0.8469666666666668,0.8194
HEFT,2node_homo,0,2,0.0,0.0,0.0,1.0,1.0
HEFT,2node_homo,1,3,0.1626,0.1505,0.3373,0.9414333333333333,0.9453
HEFT,3node_hetero,0,2,0.0,0.0,0.0,1.0,1.0
HEFT,3node_hetero,1,3,0.0,0.0,0.0,1.0,1.0
