,scheduler,makespan_ratio
0,BILScheduler,1.052905370226193
1,BILScheduler,1.0458098269650922
2,BILScheduler,1.0234088244434043
3,BILScheduler,1.0486899104027332
4,BILScheduler,1.0400294858436745
5,BILScheduler,1.0203685248483276
6,BILScheduler,1.0100677562419877
7,BILScheduler,1.0588575897116344
8,BILScheduler,1.061034457875881
9,BILScheduler,1.0155023077990981
10,BILScheduler,1.0571302498850896
11,BILScheduler,1.133052775306615
12,BILScheduler,1.01310787930452
13,BILScheduler,1.0808163408147768
14,BILScheduler,1.0211113601597204
15,BILScheduler,1.0051234850123683
16,BILScheduler,1.0000000000000093
17,BILScheduler,1.013865459236392
18,BILScheduler,1.021902915323976
19,BILScheduler,1.0648001168437866
20,BILScheduler,1.0073043389769263
21,BILScheduler,1.0432256236235686
22,BILScheduler,1.0082657278153353
23,BILScheduler,1.0000000000000049
24,BILScheduler,1.0032676286957858
25,BILScheduler,1.0714417842368529
26,BILScheduler,1.023654568544105
27,BILScheduler,1.0249919123781832
28,BILScheduler,1.021906491089466
29,BILScheduler,1.0000000000000075
30,BILScheduler,1.0198279238222996
31,BILScheduler,1.000000000000014
32,BILScheduler,1.0244631850785173
33,BILScheduler,1.0063709994629257
34,BILScheduler,1.0135642368217477
35,BILScheduler,1.0172489796422786
36,BILScheduler,1.0772114220606244
37,BILScheduler,1.0000000000000158
38,BILScheduler,1.013440088065133
39,BILScheduler,1.0073232671047367
40,BILScheduler,1.0422610734605149
41,BILScheduler,1.0564122472497008
42,BILScheduler,1.0220309507621594
43,BILScheduler,1.0098193865960956
44,BILScheduler,1.0918132785345476
45,BILScheduler,1.0342096746260656
46,BILScheduler,1.0322271053400291
47,BILScheduler,1.0147162242591592
48,BILScheduler,1.0478820241048352
49,BILScheduler,1.081982285033507
50,BILScheduler,1.0512827941588714
51,BILScheduler,1.0979692073885399
52,BILScheduler,1.0075304261643587
53,BILScheduler,1.101912552394877
54,BILScheduler,1.0417733595040923
55,BILScheduler,1.0456840687706266
56,BILScheduler,1.0030720786673357
57,BILScheduler,1.0599308650201154
58,BILScheduler,1.0369744470059694
59,BILScheduler,1.0323996081642413
60,BILScheduler,1.0180621075944394
61,BILScheduler,1.00000000000001
62,BILScheduler,1.1456894673301874
63,BILScheduler,1.077206657214415
64,BILScheduler,1.0378667872688465
65,BILScheduler,1.018327251391693
66,BILScheduler,1.020657948245586
67,BILScheduler,1.024995015283687
68,BILScheduler,1.014473173134795
69,BILScheduler,1.0122903345584773
70,BILScheduler,1.0228051286892208
71,BILScheduler,1.0381972439351825
72,BILScheduler,1.0000000000000042
73,BILScheduler,1.028515973499917
74,BILScheduler,1.0152134082173794
75,BILScheduler,1.0158445460237977
76,BILScheduler,1.0398425312435904
77,BILScheduler,1.072114662078623
78,BILScheduler,1.0347135146973405
79,BILScheduler,1.033246413174175
80,BILScheduler,1.00872807109809
81,BILScheduler,1.0907062238082286
82,BILScheduler,1.0243561744789489
83,BILScheduler,1.0000000000000095
84,BILScheduler,1.0000000000000056
85,BILScheduler,1.004976175590973
86,BILScheduler,1.0358123297438129
87,BILScheduler,1.0000000000000209
88,BILScheduler,1.0214119508418604
89,BILScheduler,1.047148662741949
90,BILScheduler,1.0639839713405932
91,BILScheduler,1.0000000000000202
92,BILScheduler,1.0431831822555668
93,BILScheduler,1.0335415908816405
94,BILScheduler,1.0000000000000142
95,BILScheduler,1.0000000000000024
96,BILScheduler,1.017722584398699
97,BILScheduler,1.0000000000000102
98,BILScheduler,1.042044990577953
99,BILScheduler,1.013522410428392
100,CpopScheduler,1.0001765472390782
101,CpopScheduler,1.0
102,CpopScheduler,1.0048144056848334
103,CpopScheduler,1.000999522310965
104,CpopScheduler,1.0000096172586024
105,CpopScheduler,1.0050378757186302
106,CpopScheduler,1.0022006931900722
107,CpopScheduler,1.0001945552175575
108,CpopScheduler,1.0
109,CpopScheduler,1.0007906523192582
110,CpopScheduler,1.0049849111964302
111,CpopScheduler,1.0
112,CpopScheduler,1.002161110986295
113,CpopScheduler,1.0
114,CpopScheduler,1.0
115,CpopScheduler,1.0012753392400526
116,CpopScheduler,1.0000000000000815
117,CpopScheduler,1.0020442087701942
118,CpopScheduler,1.0
119,CpopScheduler,1.0
120,CpopScheduler,1.0013648631477683
121,CpopScheduler,1.0
122,CpopScheduler,1.0046859421680758
123,CpopScheduler,1.0000000000001366
124,CpopScheduler,1.0
125,CpopScheduler,1.0013879452025065
126,CpopScheduler,1.0023501403365236
127,CpopScheduler,1.0034086806410698
128,CpopScheduler,1.0024609556852113
129,CpopScheduler,1.0000000000001283
130,CpopScheduler,1.004187109428289
131,CpopScheduler,1.0000000000001517
132,CpopScheduler,1.0011601475785337
133,CpopScheduler,1.002429576815937
134,CpopScheduler,1.0044336194785124
135,CpopScheduler,1.0028113457222922
136,CpopScheduler,1.0
137,CpopScheduler,1.0000000000000953
138,CpopScheduler,1.0033741711687203
139,CpopScheduler,1.0010979516329137
140,CpopScheduler,1.0037292369846393
141,CpopScheduler,1.0021501804449573
142,CpopScheduler,1.0034539857928553
143,CpopScheduler,1.0030077985507466
144,CpopScheduler,1.0
145,CpopScheduler,1.0044493262482834
146,CpopScheduler,1.005724521370396
147,CpopScheduler,1.002430672146237
148,CpopScheduler,1.0
149,CpopScheduler,1.002401166504766
150,CpopScheduler,1.0
151,CpopScheduler,1.0
152,CpopScheduler,1.0022927016803564
153,CpopScheduler,1.0
154,CpopScheduler,1.001212671579357
155,CpopScheduler,1.0028346992072152
156,CpopScheduler,1.0021798739552117
157,CpopScheduler,1.0
158,CpopScheduler,1.0009936091912324
159,CpopScheduler,1.0042998190069656
160,CpopScheduler,1.0036690592962172
161,CpopScheduler,1.0000000000000702
162,CpopScheduler,1.0033734817428752
163,CpopScheduler,1.0
164,CpopScheduler,1.0011976341927582
165,CpopScheduler,1.0003640833678502
166,CpopScheduler,1.0049644849887784
167,CpopScheduler,1.00450781367861
168,CpopScheduler,1.0036071659424939
169,CpopScheduler,1.0050236259092618
170,CpopScheduler,1.0004668490721005
171,CpopScheduler,1.0
172,CpopScheduler,1.00000000000012
173,CpopScheduler,1.0
174,CpopScheduler,1.0025081245510985
175,CpopScheduler,1.0032800573944272
176,CpopScheduler,1.0
177,CpopScheduler,1.0
178,CpopScheduler,1.005975572662343
179,CpopScheduler,1.0036701736405664
180,CpopScheduler,1.001655549774907
181,CpopScheduler,1.0
182,CpopScheduler,1.000715363468745
183,CpopScheduler,1.0000000000001579
184,CpopScheduler,1.0000000000001161
185,CpopScheduler,1.0016709553274281
186,CpopScheduler,1.0
187,CpopScheduler,1.0000000000001603
188,CpopScheduler,1.007160889017684
189,CpopScheduler,1.0
190,CpopScheduler,1.0043848239513962
191,CpopScheduler,1.0000000000001432
192,CpopScheduler,1.0014401823809655
193,CpopScheduler,1.0049138409911755
194,CpopScheduler,1.0000000000001608
195,CpopScheduler,1.0000000000001499
196,CpopScheduler,1.0019732597968003
197,CpopScheduler,1.0000000000001052
198,CpopScheduler,1.004418514808785
199,CpopScheduler,1.0004295670943435
200,DuplexScheduler,1.0198511424948695
201,DuplexScheduler,1.0192133320764283
202,DuplexScheduler,1.0196859414234858
203,DuplexScheduler,1.0433381071755325
204,DuplexScheduler,1.0333207354017266
205,DuplexScheduler,1.0259555873121846
206,DuplexScheduler,1.0142059772234502
207,DuplexScheduler,1.0398187556572251
208,DuplexScheduler,1.0292076959686083
209,DuplexScheduler,1.023092135784208
210,DuplexScheduler,1.0302660782365398
211,DuplexScheduler,1.0334446046028305
212,DuplexScheduler,1.0066670784293195
213,DuplexScheduler,1.0279859627779846
214,DuplexScheduler,1.0294294166692133
215,DuplexScheduler,1.0099976321926536
216,DuplexScheduler,1.0000000000000004
217,DuplexScheduler,1.0098620705520327
218,DuplexScheduler,1.0199389311061675
219,DuplexScheduler,1.0152341229075796
220,DuplexScheduler,1.0070803247103306
221,DuplexScheduler,1.0263196796847893
222,DuplexScheduler,1.0106654017765875
223,DuplexScheduler,1.0
224,DuplexScheduler,1.0107571013503975
225,DuplexScheduler,1.033413253339759
226,DuplexScheduler,1.0194392299654569
227,DuplexScheduler,1.0255069022360275
228,DuplexScheduler,1.0145509254709804
229,DuplexScheduler,1.0000000000000002
230,DuplexScheduler,1.0228359499502344
231,DuplexScheduler,1.0
232,DuplexScheduler,1.0180030123738406
233,DuplexScheduler,1.0064656672647896
234,DuplexScheduler,1.0162308109203702
235,DuplexScheduler,1.0168159577198597
236,DuplexScheduler,1.0343003140961664
237,DuplexScheduler,1.0000000000000024
238,DuplexScheduler,1.012604001837621
239,DuplexScheduler,1.0123644962585139
240,DuplexScheduler,1.026255571540642
241,DuplexScheduler,1.0257023456373708
242,DuplexScheduler,1.0156278600403592
243,DuplexScheduler,1.0120079995448537
244,DuplexScheduler,1.042739338920996
245,DuplexScheduler,1.0233685502294494
246,DuplexScheduler,1.0304535277467755
247,DuplexScheduler,1.0140665381028704
248,DuplexScheduler,1.0463104869136894
249,DuplexScheduler,1.039684966729045
250,DuplexScheduler,1.025085248588024
251,DuplexScheduler,1.0650237214363352
252,DuplexScheduler,1.009318339475381
253,DuplexScheduler,1.0474068037140223
254,DuplexScheduler,1.0317329027364348
255,DuplexScheduler,1.033040770105906
256,DuplexScheduler,1.0088543961729162
257,DuplexScheduler,1.0496871520821056
258,DuplexScheduler,1.0216752412125805
259,DuplexScheduler,1.0224024239282241
260,DuplexScheduler,1.0180518146008453
261,DuplexScheduler,1.0
262,DuplexScheduler,1.0361526760056354
263,DuplexScheduler,1.048634510167628
264,DuplexScheduler,1.0248402573420088
265,DuplexScheduler,1.0199518788958424
266,DuplexScheduler,1.0222655866400376
267,DuplexScheduler,1.0177022885411722
268,DuplexScheduler,1.0263749644995297
269,DuplexScheduler,1.011672604422606
270,DuplexScheduler,1.0271420745766873
271,DuplexScheduler,1.0252100867156944
272,DuplexScheduler,1.0
273,DuplexScheduler,1.0285640127861808
274,DuplexScheduler,1.0208463079218475
275,DuplexScheduler,1.0158427531607397
276,DuplexScheduler,1.0207540794056598
277,DuplexScheduler,1.0360988848032877
278,DuplexScheduler,1.0280197130831925
279,DuplexScheduler,1.019489610782195
280,DuplexScheduler,1.010578529059076
281,DuplexScheduler,1.050378472459688
282,DuplexScheduler,1.016630043269739
283,DuplexScheduler,1.0
284,DuplexScheduler,1.0
285,DuplexScheduler,1.0045158399879766
286,DuplexScheduler,1.02560728898022
287,DuplexScheduler,1.0000000000000009
288,DuplexScheduler,1.0195676099029254
289,DuplexScheduler,1.0369918741317594
290,DuplexScheduler,1.024676333677477
291,DuplexScheduler,1.0000000000000038
292,DuplexScheduler,1.0268219827345022
293,DuplexScheduler,1.0262209453400275
294,DuplexScheduler,1.0000000000000016
295,DuplexScheduler,1.0000000000000004
296,DuplexScheduler,1.0162333562479076
297,DuplexScheduler,1.0
298,DuplexScheduler,1.0220308559710771
299,DuplexScheduler,1.012315843978946
300,ETFScheduler,1.0839582728929935
301,ETFScheduler,1.094466479416344
302,ETFScheduler,1.101977152658236
303,ETFScheduler,1.0768133908751318
304,ETFScheduler,1.0208589827060432
305,ETFScheduler,1.062553211538487
306,ETFScheduler,1.022971683370808
307,ETFScheduler,1.0459849364656417
308,ETFScheduler,1.131507130360894
309,ETFScheduler,1.0761709636798027
310,ETFScheduler,1.10645130922458
311,ETFScheduler,1.1714888934044199
312,ETFScheduler,1.0420047913820716
313,ETFScheduler,1.0899175173123352
314,ETFScheduler,1.0678207910380098
315,ETFScheduler,1.0288113537409105
316,ETFScheduler,1.0000000000000022
317,ETFScheduler,1.047381709843093
318,ETFScheduler,1.0503055845312164
319,ETFScheduler,1.0923300817675985
320,ETFScheduler,1.016289903885489
321,ETFScheduler,1.11526830727535
322,ETFScheduler,1.026454795349755
323,ETFScheduler,1.0000000000000033
324,ETFScheduler,1.0330167463922066
325,ETFScheduler,1.0686920410485479
326,ETFScheduler,1.0417341520569392
327,ETFScheduler,1.0428360287839964
328,ETFScheduler,1.0497897167395505
329,ETFScheduler,1.0000000000000007
330,ETFScheduler,1.044490503268696
331,ETFScheduler,1.0000000000000029
332,ETFScheduler,1.0840398390168258
333,ETFScheduler,1.022765880233343
334,ETFScheduler,1.0185091923706946
335,ETFScheduler,1.0726546070207579
336,ETFScheduler,1.0537273231994848
337,ETFScheduler,1.0000000000000018
338,ETFScheduler,1.017065465425659
339,ETFScheduler,1.0510119179645052
340,ETFScheduler,1.0941502826324352
341,ETFScheduler,1.129878215519043
342,ETFScheduler,1.0360952003727406
343,ETFScheduler,1.0380972337261563
344,ETFScheduler,1.1251494085469402
345,ETFScheduler,1.0571294643376539
346,ETFScheduler,1.052680385630236
347,ETFScheduler,1.0632483510192892
348,ETFScheduler,1.1334371793736917
349,ETFScheduler,1.0766142423953144
350,ETFScheduler,1.062508862553511
351,ETFScheduler,1.5204726774467543
352,ETFScheduler,1.0168795260082553
353,ETFScheduler,1.090697975473445
354,ETFScheduler,1.1653384481332845
355,ETFScheduler,1.1446595523283223
356,ETFScheduler,1.0258323864822672
357,ETFScheduler,1.103037871440656
358,ETFScheduler,1.0475425799127749
359,ETFScheduler,1.0868621991711451
360,ETFScheduler,1.0337419463422037
