,scheduler,makespan_ratio
0,BILScheduler,1.0041636493375683
1,BILScheduler,1.0020962142353516
2,BILScheduler,1.0059853628414146
3,BILScheduler,1.0038958276703076
4,BILScheduler,1.0022047703722479
5,BILScheduler,1.0033002630422796
6,BILScheduler,1.009271779868044
7,BILScheduler,1.0000000000000147
8,BILScheduler,1.0019032909769237
9,BILScheduler,1.0023480767283062
10,BILScheduler,1.0022793203542104
11,BILScheduler,1.001494466823414
12,BILScheduler,1.0015472777209458
13,BILScheduler,1.0024690471328521
14,BILScheduler,1.0022598411534065
15,BILScheduler,1.0000000000000193
16,BILScheduler,1.0021450173541209
17,BILScheduler,1.0013554394558155
18,BILScheduler,1.0017188315116117
19,BILScheduler,1.0000000000000235
20,BILScheduler,1.0035102219586434
21,BILScheduler,1.0050519419732333
22,BILScheduler,1.0014901539968015
23,BILScheduler,1.0
24,BILScheduler,1.0011624840577278
25,BILScheduler,1.001941198200904
26,BILScheduler,1.005560844322676
27,BILScheduler,1.0063470027269763
28,BILScheduler,1.0000000000000138
29,BILScheduler,1.0000000000000002
30,BILScheduler,1.0037462882942307
31,BILScheduler,1.0019255950355928
32,BILScheduler,1.0015081319796928
33,BILScheduler,1.0027661816746805
34,BILScheduler,1.0022151948694402
35,BILScheduler,1.0144348224700466
36,BILScheduler,1.001983480910524
37,BILScheduler,1.0016530769293093
38,BILScheduler,1.0000000000000406
39,BILScheduler,1.001919691681142
40,BILScheduler,1.000000000000004
41,BILScheduler,1.0021780066599104
42,BILScheduler,1.0017790159079192
43,BILScheduler,1.0000000000000306
44,BILScheduler,1.000000000000014
45,BILScheduler,1.0057534297714272
46,BILScheduler,1.0000000000000182
47,BILScheduler,1.0009184048172481
48,BILScheduler,1.004423750277041
49,BILScheduler,1.017964351995903
50,BILScheduler,1.0007204122457742
51,BILScheduler,1.0
52,BILScheduler,1.00701466841476
53,BILScheduler,1.0015624308933437
54,BILScheduler,1.0019052747248387
55,BILScheduler,1.0009834322346531
56,BILScheduler,1.0000000000000182
57,BILScheduler,1.0018490620507228
58,BILScheduler,1.0013939650184045
59,BILScheduler,1.0032042180683243
60,BILScheduler,1.0000000000000022
61,BILScheduler,1.003187377510995
62,BILScheduler,1.0007909020586916
63,BILScheduler,1.0020736933128938
64,BILScheduler,1.0000000000000098
65,BILScheduler,1.0054445306838895
66,BILScheduler,1.000000000000008
67,BILScheduler,1.0018261818386034
68,BILScheduler,1.0050307216076029
69,BILScheduler,1.0028120873692086
70,BILScheduler,1.0053112956339965
71,BILScheduler,1.0000000000000118
72,BILScheduler,1.0016959468520508
73,BILScheduler,1.0015805282252739
74,BILScheduler,1.0022577193235107
75,BILScheduler,1.0032327880545617
76,BILScheduler,1.0077751640149324
77,BILScheduler,1.0105026285629988
78,BILScheduler,1.0070098499157003
79,BILScheduler,1.0033311606726518
80,BILScheduler,1.0016374453632824
81,BILScheduler,1.0007333451608478
82,BILScheduler,1.0000000000000204
83,BILScheduler,1.0027330162203214
84,BILScheduler,1.0020640293587337
85,BILScheduler,1.0026759239296297
