,scheduler,makespan_ratio
0,BILScheduler,1.2765121952997343
1,BILScheduler,1.0000000000319564
2,BILScheduler,1.0000000000245899
3,BILScheduler,1.000000000031814
4,BILScheduler,1.763214170406485
5,BILScheduler,1.0000000000301834
6,BILScheduler,1.000000000026464
7,BILScheduler,2.358701415339647
8,BILScheduler,1.0000000000235931
9,BILScheduler,1.0000000000239713
10,BILScheduler,1.000000000029731
11,BILScheduler,2.7001946050325594
12,BILScheduler,1.0000000000239666
13,BILScheduler,1.000000000036098
14,BILScheduler,1.436720692660276
15,BILScheduler,1.3330899500793727
16,BILScheduler,1.0000000000235418
17,BILScheduler,1.9415630510559756
18,BILScheduler,1.3284546615707313
19,BILScheduler,1.0000000000270184
20,BILScheduler,1.0000000000320954
21,BILScheduler,1.1509270248299868
22,BILScheduler,1.0108439466561348
23,BILScheduler,1.0000000000283766
24,BILScheduler,1.0000000000306686
25,BILScheduler,1.8611767265992418
26,BILScheduler,1.0000000000415574
27,BILScheduler,1.1242451556600315
28,BILScheduler,1.0000000000321085
29,BILScheduler,1.0000000000252078
30,BILScheduler,1.0000000000243883
31,BILScheduler,1.0000000000263718
32,BILScheduler,1.4855722514404603
33,BILScheduler,1.0000000000240807
34,BILScheduler,1.0000000000290286
35,BILScheduler,1.708010891930819
36,BILScheduler,1.0000000000259746
37,BILScheduler,1.4744292315046617
38,BILScheduler,2.348575337346487
39,BILScheduler,1.000000000021898
40,BILScheduler,1.000000000021976
41,BILScheduler,1.0000000000219966
42,BILScheduler,1.525020857815983
43,BILScheduler,1.0000000000266172
44,BILScheduler,1.0000000000313476
45,BILScheduler,1.0000000000223592
46,BILScheduler,2.265148160248221
47,BILScheduler,1.000000000032498
48,BILScheduler,1.0000000000294877
49,BILScheduler,1.0000000000266709
50,BILScheduler,1.0000000000290892
51,BILScheduler,1.4396764392215269
52,BILScheduler,1.4704799295203301
53,BILScheduler,1.0000000000230733
54,BILScheduler,2.266903119707619
55,BILScheduler,1.0000000000243483
56,BILScheduler,1.000000000027743
57,BILScheduler,1.0000000000310403
58,BILScheduler,1.5325030226695635
59,BILScheduler,1.0000000000242677
60,BILScheduler,1.3707241211695225
61,BILScheduler,1.0000000000257678
62,BILScheduler,1.0000000000312392
63,BILScheduler,1.0000000000232614
64,BILScheduler,1.0000000000224878
65,BILScheduler,2.1305942393913995
66,BILScheduler,1.000000000028072
67,BILScheduler,1.5844142158915968
68,BILScheduler,1.0000000000356946
69,BILScheduler,1.0000000000243603
70,BILScheduler,1.0182926228409568
71,BILScheduler,1.0000000000283584
72,BILScheduler,1.0000000000348335
73,BILScheduler,1.000000000024252
74,BILScheduler,1.0000000000272296
75,BILScheduler,1.0000000000215141
76,BILScheduler,1.0000000000234919
77,BILScheduler,1.0000000000251728
78,BILScheduler,1.9725641464752395
79,BILScheduler,1.0000000000282812
80,BILScheduler,1.0000000000271732
81,BILScheduler,2.2780108461399555
82,BILScheduler,1.0000000000273872
83,BILScheduler,1.0000000000288347
84,BILScheduler,1.0000000000239089
85,BILScheduler,1.0000000000326958
86,BILScheduler,1.000000000029069
87,BILScheduler,2.398420769392749
88,BILScheduler,1.0000000000252316
89,BILScheduler,1.0000000000240201
90,BILScheduler,1.2956505904874953
91,BILScheduler,1.0000000000225346
92,BILScheduler,1.0000000000249776
93,BILScheduler,1.0000000000239515
94,BILScheduler,1.0000000000340874
95,BILScheduler,1.0000000000275702
96,BILScheduler,1.0000000000254652
97,BILScheduler,1.0000000000315465
98,BILScheduler,1.000000000027653
99,BILScheduler,1.7256679771603274
100,CpopScheduler,1.0000042932873598
101,CpopScheduler,1.0000061771077364
102,CpopScheduler,1.0000027856897986
103,CpopScheduler,1.0000025528777368
104,CpopScheduler,1.0000024119015414
105,CpopScheduler,1.0000060026876127
106,CpopScheduler,1.0000021235619245
107,CpopScheduler,1.0
108,CpopScheduler,1.0000035095690696
109,CpopScheduler,1.0000014658140985
110,CpopScheduler,1.0000035314205395
111,CpopScheduler,1.0000007662618686
