,scheduler,makespan_ratio
0,BILScheduler,1.0132737384754138
1,BILScheduler,1.020357418366497
2,BILScheduler,1.0081761300341703
3,BILScheduler,1.0099606027511516
4,BILScheduler,1.0093267722148962
5,BILScheduler,1.0060944917884675
6,BILScheduler,1.038271402231276
7,BILScheduler,1.0434267729389328
8,BILScheduler,1.0156294958780143
9,BILScheduler,1.0000000000000402
10,BILScheduler,1.004937996420023
11,BILScheduler,1.0099680271432445
12,BILScheduler,1.0171002278005001
13,BILScheduler,1.0374123033209364
14,BILScheduler,1.1194423434484928
15,BILScheduler,1.0097839106902735
16,BILScheduler,1.0428165042617166
17,BILScheduler,1.0073189214773377
18,BILScheduler,1.008432681672349
19,BILScheduler,1.0000000000001261
20,BILScheduler,1.0331093472338602
21,BILScheduler,1.0280457340756353
22,BILScheduler,1.0071954998613006
23,BILScheduler,1.0062629607677824
24,BILScheduler,1.0016817596023293
25,BILScheduler,1.0126787388143412
26,BILScheduler,1.0300606308405644
27,BILScheduler,1.0000000000000782
28,BILScheduler,1.0088880587828688
29,BILScheduler,1.0000000000000122
30,BILScheduler,1.01599609757753
31,BILScheduler,1.0117525937535634
32,BILScheduler,1.019466825111123
33,BILScheduler,1.0322513516038807
34,BILScheduler,1.0682990104776449
35,BILScheduler,1.0000000000000007
36,BILScheduler,1.008914436068657
37,BILScheduler,1.0408409051279324
38,BILScheduler,1.0326834665021702
39,BILScheduler,1.0000000000000198
40,BILScheduler,1.0336882705166666
41,BILScheduler,1.0161643629111272
42,BILScheduler,1.0334585865755157
43,BILScheduler,1.0327409217552015
44,BILScheduler,1.0129084945807558
45,BILScheduler,1.0223047046153309
46,BILScheduler,1.0433384704614006
47,BILScheduler,1.0162760514369735
48,BILScheduler,1.0298581754321317
49,BILScheduler,1.02710191281867
50,BILScheduler,1.015135794529006
51,BILScheduler,1.0
52,BILScheduler,1.02411190747112
53,BILScheduler,1.0075729622309464
54,BILScheduler,1.0000000000000884
55,BILScheduler,1.0000000000001077
56,BILScheduler,1.0062528010291154
57,BILScheduler,1.0214369756725725
58,BILScheduler,1.000713695821195
59,BILScheduler,1.006091217447022
60,BILScheduler,1.0044663277657495
61,BILScheduler,1.0060020204490627
62,BILScheduler,1.0080328287661457
63,BILScheduler,1.0338099176948146
64,BILScheduler,1.0276631546529726
65,BILScheduler,1.0179401550855836
66,BILScheduler,1.0229423208335566
67,BILScheduler,1.0138790114658953
68,BILScheduler,1.0085536349873376
69,BILScheduler,1.0000000000000469
70,BILScheduler,1.0055084138765635
71,BILScheduler,1.00000000000002
72,BILScheduler,1.0367090501742968
73,BILScheduler,1.0096340012188059
74,BILScheduler,1.0209347865114184
75,BILScheduler,1.0157504525303143
76,BILScheduler,1.0459208164876415
77,BILScheduler,1.0085801524768092
78,BILScheduler,1.0013826381721642
79,BILScheduler,1.0905971512312707
80,BILScheduler,1.0281659672566519
81,BILScheduler,1.009698121229665
82,BILScheduler,1.0258836055464615
83,BILScheduler,1.0137240918851003
84,BILScheduler,1.0178166523668963
85,BILScheduler,1.0029710046857063
86,BILScheduler,1.0130204445758382
87,BILScheduler,1.0127753584865922
88,BILScheduler,1.019242403781583
89,BILScheduler,1.023516024893233
90,BILScheduler,1.0483106588812892
91,BILScheduler,1.0023453780024747
92,BILScheduler,1.0000000000000118
93,BILScheduler,1.000000000000032
94,BILScheduler,1.0191557413435015
95,BILScheduler,1.0075573613483193
96,BILScheduler,1.0349689663671402
97,BILScheduler,1.0000000000000424
98,BILScheduler,1.0448798055686748
99,BILScheduler,1.0000000000000613
100,CpopScheduler,1.0024896166526382
101,CpopScheduler,1.0016389442759286
102,CpopScheduler,1.0006209883987243
103,CpopScheduler,1.0012096778687845
104,CpopScheduler,1.0021104310796973
105,CpopScheduler,1.0004271749808167
106,CpopScheduler,1.0048259946538667
107,CpopScheduler,1.0043659021345497
108,CpopScheduler,1.000440391230612
109,CpopScheduler,1.0000000000003744
110,CpopScheduler,1.0003654758352891
