,scheduler,makespan_ratio
0,BILScheduler,1.291092587345614
1,BILScheduler,1.0
2,BILScheduler,1.2184179166075324
3,BILScheduler,1.1085486567774532
4,BILScheduler,1.0522334156494935
5,BILScheduler,1.0665221586150329
6,BILScheduler,1.1425954652804216
7,BILScheduler,1.0000000000000004
8,BILScheduler,1.0503634403521902
9,BILScheduler,1.0777310672527205
10,BILScheduler,1.1150393042367235
11,BILScheduler,1.0985866241490998
12,BILScheduler,1.2119298465663608
13,BILScheduler,1.0000000000000013
14,BILScheduler,1.082791266661073
15,BILScheduler,1.0694280587470673
16,BILScheduler,1.2206071485479693
17,BILScheduler,1.1342794303438979
18,BILScheduler,1.0000000000000004
19,BILScheduler,1.1392562167281
20,BILScheduler,1.0441813607940518
21,BILScheduler,1.2991416322745353
22,BILScheduler,1.0631515018355089
23,BILScheduler,1.1677292496812601
24,BILScheduler,1.075650377185181
25,BILScheduler,1.0408490377180049
26,BILScheduler,1.0786156120107158
27,BILScheduler,1.0996300451128107
28,BILScheduler,1.036770255926212
29,BILScheduler,1.000000000000001
30,BILScheduler,1.0266855240489008
31,BILScheduler,1.08882997032621
32,BILScheduler,1.2448391939210535
33,BILScheduler,1.0000000000000004
34,BILScheduler,1.1190929513515409
35,BILScheduler,1.1142942606319413
36,BILScheduler,1.0000000000000007
37,BILScheduler,1.1559798106362276
38,BILScheduler,1.222687267182371
39,BILScheduler,1.1262326643756133
40,BILScheduler,1.1659481476907856
41,BILScheduler,1.0944905421219706
42,BILScheduler,1.0
43,BILScheduler,1.089923430573975
44,BILScheduler,1.0474540565921846
45,BILScheduler,1.1601849936369646
46,BILScheduler,1.3280976582741626
47,BILScheduler,1.1579721507653957
48,BILScheduler,1.0420412920793056
49,BILScheduler,1.1139421649156038
50,BILScheduler,1.1152885932245917
51,BILScheduler,1.1981588216315393
52,BILScheduler,1.0
53,BILScheduler,1.0000000000000002
54,BILScheduler,1.0550181188427654
55,BILScheduler,1.0000000000000002
56,BILScheduler,1.0725696649364884
57,BILScheduler,1.1120191798016563
58,BILScheduler,1.271030734275754
59,BILScheduler,1.1174033297607602
60,BILScheduler,1.057297002436278
61,BILScheduler,1.0000000000000013
62,BILScheduler,1.0000000000000002
63,BILScheduler,1.0694237901783286
64,BILScheduler,1.0000000000000009
65,BILScheduler,1.204279590833424
66,BILScheduler,1.0601281713102253
67,BILScheduler,1.0000000000000002
68,BILScheduler,1.1343331451650664
69,BILScheduler,1.2053069604258568
70,BILScheduler,1.0898166189517844
71,BILScheduler,1.056584774989781
72,BILScheduler,1.4003739029383406
73,BILScheduler,1.1880879392676948
74,BILScheduler,1.0000000000000004
75,BILScheduler,1.241389767430726
76,BILScheduler,1.3903863438165696
77,BILScheduler,1.2177409222371316
78,BILScheduler,1.2760022209280473
79,BILScheduler,1.1605486188108567
80,BILScheduler,1.045599785012004
81,BILScheduler,1.0710815502274944
82,BILScheduler,1.4230347763702085
83,BILScheduler,1.1124943096240871
84,BILScheduler,1.0848482030346038
85,BILScheduler,1.4253539927113585
86,BILScheduler,1.1236326312944949
87,BILScheduler,1.0698398012615589
88,BILScheduler,1.1261795506800036
89,BILScheduler,1.1902768077425672
90,BILScheduler,1.0000000000000009
91,BILScheduler,1.0872052048022047
92,BILScheduler,1.2361032339545752
93,BILScheduler,1.1339770081301386
94,BILScheduler,1.0782194333704778
95,BILScheduler,1.1031775875194612
96,BILScheduler,1.101546432130597
97,BILScheduler,1.2763009559501683
98,BILScheduler,1.0000000000000004
99,BILScheduler,1.5660734684225062
100,CpopScheduler,1.0010738981357006
101,CpopScheduler,1.0
102,CpopScheduler,1.0038629635753618
103,CpopScheduler,1.0
104,CpopScheduler,1.001893256316742
105,CpopScheduler,1.0001665048221535
106,CpopScheduler,1.0016022422222797
107,CpopScheduler,1.0000000000000004
108,CpopScheduler,1.0010612828638208
109,CpopScheduler,1.0
110,CpopScheduler,1.0006031792721144
111,CpopScheduler,1.0005192352171135
112,CpopScheduler,1.00486479014598
113,CpopScheduler,1.0000000000000013
114,CpopScheduler,1.0004424893073967
115,CpopScheduler,1.0010356443804724
116,CpopScheduler,1.0073597192444474
117,CpopScheduler,1.0017922988522805
118,CpopScheduler,1.0000000000000004
119,CpopScheduler,1.0
