scheduler_name,recipe,workflow_instance,ccr,num_processors,mode,n,task_name,task_score,duplicated_tasks,target_benefit,num_target_processors,dup_factor,makespan,baseline_makespan,makespan_ratio,num_tasks,avg_task_cost,avg_edge_size,task_cost,incoming_comm,outgoing_comm,in_out_ratio,out_in_ratio,num_children,num_parents
heft,seismology,0,5.0,8,bottom-n,1,sG1IterDecon_00000938,0.6301310310293922,sG1IterDecon_00000938,0.0076627715618542425,1,2,315.3984094467819,315.2870441484727,1.0003532187585125,1214,2.2594365733113673,0.01183565045342127,0.718,0.0,0.001713,0.0,inf,1,0
heft,seismology,0,5.0,8,bottom-n,2,sG1IterDecon_00000306,0.6346000552566711,"sG1IterDecon_00000938,sG1IterDecon_00000306",0.010729315021706043,1,2,315.47658315291125,315.2870441484727,1.000601163314371,1214,2.2594365733113673,0.01183565045342127,0.561,0.0,0.001972,0.0,inf,1,0
heft,seismology,0,5.0,8,bottom-n,3,sG1IterDecon_00000164,0.6385308725092331,"sG1IterDecon_00000938,sG1IterDecon_00000306,sG1IterDecon_00000164",0.045245968964650274,1,2,315.54643593849886,315.2870441484727,1.000822716298815,1214,2.2594365733113673,0.01183565045342127,0.804,0.0,0.001701,0.0,inf,1,0
cpop,seismology,0,5.0,8,top-n,1,sG1IterDecon_00000921,0.9530475813893111,sG1IterDecon_00000921,0.975872564998383,1,2,315.2658394546901,315.24599065899895,1.0000629628806685,1214,2.2594365733113673,0.01183565045342127,0.561,0.0,0.001701,0.0,inf,1,0
cpop,seismology,0,5.0,8,top-n,2,sG1IterDecon_00000783,0.9363479525912908,"sG1IterDecon_00000921,sG1IterDecon_00000783",0.7549524209787819,1,2,315.25509166492776,315.24599065899895,1.0000288695374357,1214,2.2594365733113673,0.01183565045342127,0.561,0.0,0.001701,0.0,inf,1,0
cpop,seismology,0,5.0,8,top-n,3,sG1IterDecon_00000729,0.907151740742947,"sG1IterDecon_00000921,sG1IterDecon_00000783,sG1IterDecon_00000729",0.6642965468631701,1,2,315.2275068878595,315.24599065899895,0.9999413671491877,1214,2.2594365733113673,0.01183565045342127,0.561,0.0,0.001701,0.0,inf,1,0
cpop,seismology,0,5.0,8,bottom-n,1,sG1IterDecon_00000938,0.662498708961875,sG1IterDecon_00000938,0.1038250250609849,1,2,315.41598996550977,315.24599065899895,1.0005392592183502,1214,2.2594365733113673,0.01183565045342127,0.718,0.0,0.001713,0.0,inf,1,0
cpop,seismology,0,5.0,8,bottom-n,2,sG1IterDecon_00000506,0.6537458045175267,"sG1IterDecon_00000938,sG1IterDecon_00000506",0.007220656310892082,1,2,315.4286624660239,315.24599065899895,1.000579457986581,1214,2.2594365733113673,0.01183565045342127,0.561,0.0,0.004624,0.0,inf,1,0
cpop,seismology,0,5.0,8,bottom-n,3,sG1IterDecon_00000864,0.6820695181905545,"sG1IterDecon_00000938,sG1IterDecon_00000506,sG1IterDecon_00000864",0.14289996150904472,1,2,315.51038218034284,315.24599065899895,1.0008386832162122,1214,2.2594365733113673,0.01183565045342127,0.561,0.0,0.003979,0.0,inf,1,0
heft,seismology,0,5.0,16,top-n,1,sG1IterDecon_00000290,0.9769911937941591,sG1IterDecon_00000290,1.37101431257679,1,2,116.35569677506183,116.3845435834662,0.9997521422732248,861,2.106842044134727,0.011885287209302325,0.561,0.0,0.004554,0.0,inf,1,0
heft,seismology,0,5.0,16,top-n,2,sG1IterDecon_00000680,0.9760628706812962,"sG1IterDecon_00000290,sG1IterDecon_00000680",1.52926313969013,1,2,116.33648890162034,116.3845435834662,0.9995871042634507,861,2.106842044134727,0.011885287209302325,0.561,0.0,0.004334,0.0,inf,1,0
heft,seismology,0,5.0,16,top-n,3,sG1IterDecon_00000085,0.9755288177423738,"sG1IterDecon_00000290,sG1IterDecon_00000680,sG1IterDecon_00000085",1.1854110607455937,1,2,116.3239342560951,116.3845435834662,0.9994792321600021,861,2.106842044134727,0.011885287209302325,0.561,0.0,0.004215,0.0,inf,1,0
heft,seismology,0,5.0,16,bottom-n,1,sG1IterDecon_00000380,0.6267247211602941,sG1IterDecon_00000380,0.002741911916828599,1,2,116.3845435834662,116.3845435834662,1.0,861,2.106842044134727,0.011885287209302325,1.481,0.0,0.001701,0.0,inf,1,0
heft,seismology,0,5.0,16,bottom-n,2,sG1IterDecon_00000821,0.6344468872868113,"sG1IterDecon_00000380,sG1IterDecon_00000821",0.03112363662741302,1,2,116.3845435834662,116.3845435834662,1.0,861,2.106842044134727,0.011885287209302325,1.38,0.0,0.001701,0.0,inf,1,0
heft,seismology,0,5.0,16,bottom-n,3,sG1IterDecon_00000780,0.6573899676980199,"sG1IterDecon_00000380,sG1IterDecon_00000821,sG1IterDecon_00000780",0.029239214942478498,1,2,116.3845435834662,116.3845435834662,1.0,861,2.106842044134727,0.011885287209302325,0.561,0.0,0.001948,0.0,inf,1,0
cpop,seismology,0,5.0,16,top-n,1,sG1IterDecon_00000467,0.9811675055113008,sG1IterDecon_00000467,2.411848982649886,1,2,117.22924661726715,117.24863573619253,0.9998346324560313,861,2.106842044134727,0.011885287209302325,0.561,0.0,0.005812,0.0,inf,1,0
cpop,seismology,0,5.0,16,top-n,2,sG1IterDecon_00000425,0.9824370648458766,"sG1IterDecon_00000467,sG1IterDecon_00000425",2.1595147048783616,1,2,117.29981858379391,117.24863573619253,1.000436532564153,861,2.106842044134727,0.011885287209302325,0.561,0.0,0.006313,0.0,inf,1,0
cpop,seismology,0,5.0,16,top-n,3,sG1IterDecon_00000834,0.9782698647447838,"sG1IterDecon_00000467,sG1IterDecon_00000425,sG1IterDecon_00000834",2.2543435455963277,1,2,117.31856913161054,117.24863573619253,1.0005964538092824,861,2.106842044134727,0.011885287209302325,0.561,0.0,0.005912,0.0,inf,1,0
cpop,seismology,0,5.0,16,bottom-n,1,sG1IterDecon_00000793,0.6311024076550625,sG1IterDecon_00000793,0.005459068677694745,1,2,117.24863573619253,117.24863573619253,1.0,861,2.106842044134727,0.011885287209302325,1.694,0.0,0.002162,0.0,inf,1,0
cpop,seismology,0,5.0,16,bottom-n,2,sG1IterDecon_00000263,0.6509297196156675,"sG1IterDecon_00000793,sG1IterDecon_00000263",0.16304676846151267,1,2,117.24863573619253,117.24863573619253,1.0,861,2.106842044134727,0.011885287209302325,1.096,0.0,0.001701,0.0,inf,1,0
