scheduler_name,experiment_num,dag_type,num_tasks,ccr,levels,branching_factor,num_processors,mode,n,task_name,task_score,duplicated_tasks,target_benefit,dup_factor,makespan,baseline_makespan,makespan_ratio,task_cost,incoming_comm,outgoing_comm,in_out_ratio,out_in_ratio,num_children,num_parents
heft,0,branching,22,0.1,3,4,2,top-n,1,0,0.7784793909627387,0,0.3165856878216424,2,22.568055076359677,22.6764024517783,0.995222020968757,0.2690224369620973,0.0,1.458929566047562,0.0,inf,4,0
heft,0,branching,22,0.1,3,4,2,bottom-n,1,0,0.7784793909627387,0,0.3165856878216424,2,22.568055076359677,22.6764024517783,0.995222020968757,0.2690224369620973,0.0,1.458929566047562,0.0,inf,4,0
cpop,0,branching,22,0.1,3,4,2,top-n,1,0,0.7467895663608756,0,0.3165856878216424,2,22.929313696025403,22.929313696025403,1.0,0.2690224369620973,0.0,1.458929566047562,0.0,inf,4,0
cpop,0,branching,22,0.1,3,4,2,bottom-n,1,0,0.7467895663608756,0,0.3165856878216424,2,22.929313696025403,22.929313696025403,1.0,0.2690224369620973,0.0,1.458929566047562,0.0,inf,4,0
cpop,0,branching,41,0.1,4,3,2,top-n,1,23,0.8906364239834067,23,0.03192120174043467,2,19.243768686157924,19.275689887504495,0.9983439658174174,0.2289638069296943,0.6079995864764399,0.39386609293860386,1.5436707992307817,0.6478065145096381,1,1
cpop,0,branching,41,0.1,4,3,2,bottom-n,1,23,0.8906364239834067,23,0.03192120174043467,2,19.243768686157924,19.275689887504495,0.9983439658174174,0.2289638069296943,0.6079995864764399,0.39386609293860386,1.5436707992307817,0.6478065145096381,1,1
heft,0,branching,32,0.1,5,2,2,top-n,1,0,0.7253240406879675,0,0.08047079208009533,2,16.40613465901695,16.40701172542439,0.9999465431961579,0.5801122841086142,0.0,1.6848478595224377,0.0,inf,2,0
heft,0,branching,32,0.1,5,2,2,bottom-n,1,0,0.7253240406879675,0,0.08047079208009533,2,16.40613465901695,16.40701172542439,0.9999465431961579,0.5801122841086142,0.0,1.6848478595224377,0.0,inf,2,0
cpop,0,branching,32,0.1,5,2,2,top-n,1,0,0.7253240406157878,0,0.08047079208009533,2,16.815097465475066,16.815097465475066,1.0,0.5801122841086142,0.0,1.6848478595224377,0.0,inf,2,0
cpop,0,branching,32,0.1,5,2,2,bottom-n,1,0,0.7253240406157878,0,0.08047079208009533,2,16.815097465475066,16.815097465475066,1.0,0.5801122841086142,0.0,1.6848478595224377,0.0,inf,2,0
heft,0,branching,8,0.1,3,2,4,top-n,1,0,0.7277734312277665,0,0.14791588933912614,2,3.6854421895016833,3.753289186928922,0.9819233227049169,0.9907793574694186,0.0,1.8933355060790928,0.0,inf,2,0
heft,0,branching,8,0.1,3,2,4,bottom-n,1,0,0.7277734312277665,0,0.14791588933912614,2,3.6854421895016833,3.753289186928922,0.9819233227049169,0.9907793574694186,0.0,1.8933355060790928,0.0,inf,2,0
cpop,0,branching,8,0.1,3,2,4,top-n,1,0,0.72777343112201,0,0.14791588933912614,2,4.027474363943696,4.027474363943696,1.0,0.9907793574694186,0.0,1.8933355060790928,0.0,inf,2,0
cpop,0,branching,8,0.1,3,2,4,bottom-n,1,0,0.72777343112201,0,0.14791588933912614,2,4.027474363943696,4.027474363943696,1.0,0.9907793574694186,0.0,1.8933355060790928,0.0,inf,2,0
heft,0,branching,14,0.1,3,3,4,top-n,1,3,0.7810080282558823,3,0.09632490000542249,2,3.8894298971425343,3.8894298971425343,1.0,0.11071718259790686,0.10579744165444872,1.8110270072646142,0.0584184781508288,17.11787146214477,3,1
heft,0,branching,14,0.1,3,3,4,top-n,2,5,0.8907630997420358,"3,5",0.02007797194456673,2,3.8693519260777256,3.8894298971425343,0.9948378112999132,0.1443135527992684,0.2264803491825826,0.8797585738269165,0.2574346598265041,3.8844808258295194,1,1
heft,0,branching,14,0.1,3,3,4,bottom-n,1,5,0.6335061327648248,5,0.02007797194456673,2,3.8693519260777256,3.8894298971425343,0.9948378112999132,0.1443135527992684,0.2264803491825826,0.8797585738269165,0.2574346598265041,3.8844808258295194,1,1
heft,0,branching,14,0.1,3,3,4,bottom-n,2,3,0.7561537854155516,"5,3",0.09632490000542249,2,3.8693519260777256,3.8894298971425343,0.9948378112999132,0.11071718259790686,0.10579744165444872,1.8110270072646142,0.0584184781508288,17.11787146214477,3,1
cpop,0,branching,14,0.1,3,3,4,top-n,1,3,0.7567862826532183,3,0.09632490000542249,2,3.8610400306470565,3.8610400306470565,1.0,0.11071718259790686,0.10579744165444872,1.8110270072646142,0.0584184781508288,17.11787146214477,3,1
cpop,0,branching,14,0.1,3,3,4,bottom-n,1,3,0.7567862826532183,3,0.09632490000542249,2,3.8610400306470565,3.8610400306470565,1.0,0.11071718259790686,0.10579744165444872,1.8110270072646142,0.0584184781508288,17.11787146214477,3,1
heft,0,branching,22,0.1,3,4,4,top-n,1,0,0.7595214152782312,0,0.05347810770125358,3,5.250001788464362,5.230446403564667,1.0037387602110535,0.1044211501046479,0.0,2.562227571044405,0.0,inf,4,0
heft,0,branching,22,0.1,3,4,4,bottom-n,1,0,0.7595214152782312,0,0.05347810770125358,3,5.250001788464362,5.230446403564667,1.0037387602110535,0.1044211501046479,0.0,2.562227571044405,0.0,inf,4,0
cpop,0,branching,22,0.1,3,4,4,top-n,1,0,0.7595214152986394,0,0.05347810770125358,3,5.528033618482879,5.528033618482879,1.0,0.1044211501046479,0.0,2.562227571044405,0.0,inf,4,0
cpop,0,branching,22,0.1,3,4,4,bottom-n,1,0,0.7595214152986394,0,0.05347810770125358,3,5.528033618482879,5.528033618482879,1.0,0.1044211501046479,0.0,2.562227571044405,0.0,inf,4,0
heft,0,branching,41,0.1,4,3,4,top-n,1,35,0.8833333333333333,35,0.0310835236732121,2,12.654657103271635,12.68574062649262,0.9975497273563932,0.2998280171378148,0.728078856248229,0.452226456513797,1.609987310032614,0.6211229080928238,1,1
heft,0,branching,41,0.1,4,3,4,bottom-n,1,35,0.8833333333333333,35,0.0310835236732121,2,12.654657103271635,12.68574062649262,0.9975497273563932,0.2998280171378148,0.728078856248229,0.452226456513797,1.609987310032614,0.6211229080928238,1,1
cpop,0,branching,32,0.1,5,2,4,top-n,1,8,0.724679364765286,8,0.08702174295509124,2,22.711245757313304,22.711245757313304,1.0,0.21233266367640474,0.19031084430897235,1.572883814246147,0.1209948519943189,8.264814440592506,2,1
cpop,0,branching,32,0.1,5,2,4,bottom-n,1,8,0.724679364765286,8,0.08702174295509124,2,22.711245757313304,22.711245757313304,1.0,0.21233266367640474,0.19031084430897235,1.572883814246147,0.1209948519943189,8.264814440592506,2,1
heft,0,branching,122,0.1,5,3,4,top-n,1,3,0.6939030702343337,3,0.03493054467294088,2,23.881042840999683,23.881042840999683,1.0,0.24595943231037617,0.2515134216835418,1.7618671023885009,0.14275391222333056,7.005061958901383,3,1
heft,0,branching,122,0.1,5,3,4,top-n,2,4,0.6868688319441149,"3,4",0.019899182698381424,2,23.881042840999683,23.881042840999683,1.0,0.11005583474781411,0.34135021312224334,1.3978942843009097,0.24418886102889634,4.095190893583242,3,1
heft,0,branching,122,0.1,5,3,4,top-n,3,0,0.7477730151959439,"3,4,0",0.0017549973044785894,2,23.881042840999683,23.881042840999683,1.0,0.16444565636320413,0.0,0.8797859985294199,0.0,inf,3,0
