Branch,Regime,Workflow,CCR,Instance,Seed,Scheduler,Throughput,Makespan,RescheduleCount
wfcommons,deterministic,epigenomics,0.2,epigenomics_10,0,MaxTP,0.001052919583788,2265.4461184660313,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_4,0,HEFT_static,0.0005630588163914,1790.974060257867,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_4,0,CPoP_static,0.0005644861785075,1804.5349732353843,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_4,0,HEFT-Tp_static,0.0006075401584623,2514.0724573056054,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_4,0,CPoP-Tp_static,0.0006087740116521,2530.2174572566905,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_4,0,FastestNode,0.0001268338044325,7884.333395774385,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_4,0,MaxTP,0.0006106102372902,2637.8036607030285,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_8,0,HEFT_static,0.0002603131990014,3841.5262992326634,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_8,0,CPoP_static,0.0002607733669303,3838.865891987959,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_8,0,HEFT-Tp_static,0.0003091504785159,4449.159498451637,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_8,0,CPoP-Tp_static,0.0003086791854642,4472.681542434044,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_8,0,FastestNode,0.0001623251165472,6160.47609434492,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_8,0,MaxTP,0.0003088513908051,4446.362544116765,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_9,0,HEFT_static,0.0004373082352921,2295.7234592045997,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_9,0,CPoP_static,0.0004385783976197,2318.15886855236,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_9,0,HEFT-Tp_static,0.0004543844870303,2332.6923228679625,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_9,0,CPoP-Tp_static,0.000451934769421,2397.8616072315313,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_9,0,FastestNode,0.0001718259230881,5819.843606995273,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_9,0,MaxTP,0.0004508845515681,2422.206254751747,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_12,0,HEFT_static,0.0007693933569108,1301.4940865209908,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_12,0,CPoP_static,0.0007686986747369,1300.8998621708392,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_12,0,HEFT-Tp_static,0.0010683525305412,1800.1376988258587,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_12,0,CPoP-Tp_static,0.0010690222286399,1837.9793079466072,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_12,0,FastestNode,0.0006474675444547,1544.4789604788232,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_12,0,MaxTP,0.0010522020634126,1828.7219516054013,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_11,0,HEFT_static,0.0003875400137143,2584.9904351629452,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_11,0,CPoP_static,0.0003861959581827,2593.9379940496447,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_11,0,HEFT-Tp_static,0.0004687430673283,3126.288679871103,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_11,0,CPoP-Tp_static,0.000472412534212,3143.623397201396,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_11,0,FastestNode,0.0002653184449506,3769.055710346423,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_11,0,MaxTP,0.0004694883543433,3143.4806601141713,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_14,0,HEFT_static,0.000557684904903,1824.069492438289,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_14,0,CPoP_static,0.0005566906637893,1828.324849739476,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_14,0,HEFT-Tp_static,0.0007657164816159,2167.5256135023756,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_14,0,CPoP-Tp_static,0.0007635331162972,2167.351877081331,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_14,0,FastestNode,0.000306095693812,3266.952198993225,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_14,0,MaxTP,0.0007753402755927,2200.606271253856,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_15,0,HEFT_static,0.0003457018698996,2896.436563023426,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_15,0,CPoP_static,0.0003463867393845,2904.6584633159237,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_15,0,HEFT-Tp_static,0.0003526627573199,2939.2702047806597,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_15,0,CPoP-Tp_static,0.0003527664711781,2940.907146660464,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_15,0,FastestNode,0.0002115863896192,4726.201915918235,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_15,0,MaxTP,0.0003533494377443,2977.341771845072,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_16,0,HEFT_static,0.0005646511646074,1771.1012891710088,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_16,0,CPoP_static,0.0005636628823607,1774.8882224322465,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_16,0,HEFT-Tp_static,0.000750882337286,2227.4168389620145,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_16,0,CPoP-Tp_static,0.00074878949119,2235.82681958689,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_16,0,FastestNode,0.0004050324822046,2468.937786319864,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_16,0,MaxTP,0.0007523526406775,2242.357247760778,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_13,0,HEFT_static,0.0001846041209505,5423.277380675169,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_13,0,CPoP_static,0.0001851053259373,5447.275443048209,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_13,0,HEFT-Tp_static,0.0001853708897002,5460.553599491556,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_13,0,CPoP-Tp_static,0.0001853477870405,5507.369061812305,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_13,0,FastestNode,0.0001092413372769,9154.04392629669,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_13,0,MaxTP,0.0001853758575243,5503.092205944287,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_19,0,HEFT_static,0.0007683362176118,1302.068420873509,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_19,0,CPoP_static,0.0007787144437248,1318.300987310364,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_19,0,HEFT-Tp_static,0.0011889522987004,1765.3771653814372,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_19,0,CPoP-Tp_static,0.0012162015960888,1700.4270163788149,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_19,0,FastestNode,0.0004933139953827,2027.10648666404,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_19,0,MaxTP,0.0011929629067008,1934.433876945022,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_18,0,HEFT_static,0.0004232703887523,2404.493115465833,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_18,0,CPoP_static,0.0004232901267561,2404.61827603744,0
wfcommons,deterministic,epigenomics,0.2,epigenomics_18,0,HEFT-Tp_static,0.0005284320538251,2960.4498169890044,0
