heuristic,network,ctg_id,num_branches,mean_gap,median_gap,max_gap,mean_ratio,median_ratio
CPOP,3node_hetero,0,2,0.7013,0.7013,0.9605,0.7601500000000001,0.7601500000000001
HEFT,3node_hetero,0,2,0.0,0.0,0.0,1.0,1.0
