heuristic,network,ctg_id,trace,trace_probability,num_tasks_ctg,num_tasks_trace,ctg_overlapping_makespan,trace_ctg_makespan,trace_standalone_makespan,trace_gap,trace_ratio_standalone_over_ctg
HEFT,3node_hetero,0,Trace: 5-3,0.180318,8,6,1.5441,1.5441,1.5441,0.0,1.0
HEFT,3node_hetero,0,Trace: 5-4,0.745573,8,6,1.5441,1.5233,1.5233,0.0,1.0
HEFT,3node_hetero,0,Trace: 6-3,0.014433,8,6,1.5441,1.481,1.481,0.0,1.0
HEFT,3node_hetero,0,Trace: 6-4,0.059676,8,6,1.5441,1.4602,1.4602,0.0,1.0
HEFT,3node_hetero,1,Trace: 2-5,0.055337,8,4,1.5266,0.955,0.955,0.0,1.0
HEFT,3node_hetero,1,Trace: 2-6,0.047161,8,4,1.5266,0.9091,0.9091,0.0,1.0
HEFT,3node_hetero,1,Trace: 1-3,0.068134,8,4,1.5266,1.3879,1.3879,0.0,1.0
HEFT,3node_hetero,1,Trace: 1-4,0.829368,8,4,1.5266,1.5266,1.5266,0.0,1.0
