Prompt_level,Makespan_1,Makespan_2,Makespan_diff,Makespan_diff_ratio
0.0,6.500000017,6.500000021999999,4.999999525523435e-09,7.692306936308248e-08
0.0,1.7500000040000003,1.7500000040000003,0.0,0.0
0.0,4.476190480190477,6.066666669666667,1.59047618947619,26.216640472906995
1.0,1.0866666686666666,1.3000000040000002,0.21333333533333354,16.410256513609482
1.0,3.8333333373333334,5.250000004,1.416666666666667,26.98412696356765
1.0,1.08000001,2.650000008,1.5699999980000001,59.24528276454254
2.0,9.497222223222224,14.166666669666668,4.6694444464444445,32.9607843208632
2.0,1.40000001,1.7023809603809523,0.30238095038095225,17.762237561285144
2.0,0.7000000040000001,0.7602564132564102,0.06025640925641018,7.9258008489943
3.0,40.166666668666664,65.00000000399999,24.83333333533332,38.20512820585403
3.0,50.00000000399999,111.000000003,60.999999999,54.95495495256879
3.0,3.4166666676666666,3.8333333363333333,0.4166666686666667,10.869565261058602
4.0,3.5555555563555554,3.5555555563555554,0.0,0.0
4.0,4.400000006,9.750000005,5.3499999990000005,54.87179483339908
4.0,13.636363642363635,20.83823529811765,7.2018716557540134,34.5608519758128
